m̥ l ɛ ¹¹	m w ɛ ¹¹
n u ¹¹	n u ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
d ə ¹¹	d ə ¹¹
tʰ ə ŋ ¹¹	tʰ ə ¹¹
s a ɴ ⁵⁵	s a ɴ ⁵⁵
m̥ e ¹¹	m̥ e ¹¹
cʰ r a ¹¹	cʰ a ¹¹
tʰ w w ɨ m ⁵⁵	tʰ w ɨ ɴ ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
j a m ¹¹	j a m ¹¹
m̥ a ŋ ¹¹	m a ŋ ¹¹
m̥ ɨ ¹¹	m ɨ ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
cʰ j a ɴ ¹¹	cʰ j a ɴ ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
b l a ¹¹	b l a ¹¹
s u ɴ ¹¹	s u n ¹¹
ˀd ɛ ¹¹	ˀd ɛ ¹¹
p l o ŋ ¹¹	p l o ŋ ¹¹
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
r̥ w i ¹¹	r w i ¹¹
l ou ¹¹	l̥ ou ¹¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
n ei ⁵⁵	n̥ ei ⁵⁵
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
l a ¹¹	l̥ a ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
ɲ̊ a ¹¹	ɲ̊ a ¹¹
kʰ a ¹¹	kʰ a ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
s r ɔ ¹¹	s r ɔ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
