d o ²	d i ²
n y ²	n y ²
tsʰ i ²	tsʰ i ²
s a ²	s a ²
ˀm o ¹	ˀm y̠ ¹
tʃ i ¹	tʃ ɨ̠ ¹
k a̠ ³	k o̠ ³
ɣ ɨ ³	ɣ y̠ ³
kʰ a ²	kʰ a ²
tsʰ e ¹	tʃʰ i̠ ³
ˀv a ¹	ˀv a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ˀn a ²	ˀn a ²
tʃʰ i̠ ³	tʃʰ i̠ ³
v u ¹	v u ¹
kʰ o̠ ¹	kʰ j y ¹
ˀn i ¹	ˀn i ¹
d a ŋ ¹	d a ŋ ¹
l a ²	l a ²
ɣ i ³	ʃ i ³
n a ¹	n a ¹
pʰ ɛ ³	pʰ ɛ ³
a ¹	a ¹
x a̠ ³	x a̠ ³
dʒ a ¹	h a ¹
b o̠ ¹	b o̠ ¹
dz a ¹	dz a ¹
dz y ¹	dz y ¹
n e ¹	n e ¹
kʰ e̠ ³	kʰ j e ¹
t ɛ ¹	t ɛ ¹
k e̠ ²	k j ɛ ²
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
tʃʰ i ¹	tʃʰ e ¹
ˀn y̠ ³	ˀn y̠ ³
v i̠ ³	ˀv i̠ ³
k u ¹	k u ¹
s e̠ ³	s e̠ ³
kʰ j i ²	tsʰ ɿ ²
dz i̠ ²	dz i ³
g u ¹	g o ŋ ¹
t a ³	d a ²
m a ²	m a ²
ts ɛ ¹	ts ɛ ¹
n a ²	n a ²
k o̠ ³	k o̠ ¹
ˀm i ³	ˀm i ³
g ɨ ²	g o̠ ³
tʰ a ²	tʰ a ŋ ²
s y ²	s y ²
tʃʰ u ²	t u ²
i ³	i ²
dz i ²	dz e ²
z a ²	z a ²
b e ²	b o ²
b o̠ ¹	pʰ u ²
ʒ e ²	e ²
m o̠ ¹	m o̠ ¹
k a ŋ ³	k a̠ ³
p ɛ ³	p ɛ ³
a ŋ ²	a ²
pʰ u ²	pʰ u ¹
ʃ a ¹	ʃ a ¹
pʰ a ²	pʰ a ²
l u ²	l u ²
ʃ i̠ ¹	ʃ i ¹
pʰ e̠ ²	pʰ e ²
b y ³	b y ³
kʰ y ¹	kʰ y ¹
ʃ ɨ ²	ʃ ɨ ²
pʰ j u ¹	pʰ a ¹
b y̠ ³	b y̠ ³
ɲ i ¹	ˀn i ³
h e ¹	h e ¹
m ɛ ²	m e ²
kʰ ɨ ³	kʰ ɨ ³
kʰ o ³	kʰ j o ³
p a̠ ³	p a̠ ³
ɲ e̠ ³	n i̠ ³
t u̠ ¹	t i̠ ¹
m a ³	m a ³³
a ¹	a ²
s y ²	ʃ y ¹
s i̠ ¹	s i̠ ¹
ɣ ɛ ²	ɣ ɛ ²
n i ²	n i ²
h e̠ ³	h e̠ ³
n a ŋ ¹	n a ¹
a ³	a ²
h e ¹	h e ¹
pʰ y ²	pʰ j y ²
h a ¹	h a ¹
tʰ e ¹	tʰ e̠ ¹
tʰ ɛ ³	tʰ ɛ ³
t a ²	t a ²
s ɛ ²	s ɛ ²
f e̠ ¹	ˀv e̠ ¹
b ɛ ¹	b ɛ ¹
p a ³	p a̠ ³
m i ¹	ˀm i ¹
kʰ i ¹	kʰ i ¹
ˀn i ³	ˀn i ³
m a ³	m a ³
dz i ³	dz i ²
x i ¹	ʃ ɛ ¹
l a ²	l a ²
tʰ a ²	tʰ a ²
b u ³	b y̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ts ɛ ³	ts ɛ ³
kʰ o ¹	kʰ o ¹
z o̠ ²	ʒ o̠ ³
m a ²	m a ²
l a ²	l a ŋ ²
m o ¹	m u ¹
n a ²	ˀn a ²
pʰ i ²	p i ²
ɣ a ³	ɣ a ³
dz i ²	dʒ i ²
z a ²	z a ²
l e̠ ³	l e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ¹
d e̠ ¹	d e̠ ¹
ˀn i ³	ˀn i ³
