b o ⁴	p j u ⁴
m ɛ ¹	m ɛ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
d ɔ ¹	d ɔ ¹
m a ⁴	m a ⁴
qʰ o ŋ ¹	qʰ o ŋ ¹
p ɯ ²	p ɯ ²
s i ²	s r i ²
m æ ⁵	m æ ⁵
ts o ŋ ¹	dz o ŋ ¹
b e ¹	b e ¹
ŋ w ɛ ²	ŋ w e n ²
ɖʐ i ⁴	ɖʐ i ⁴
ɣ æ ⁴	ɣ æ ⁴
h ɔ ¹	z ɔ ¹
ŋ r ɛ n ⁴	n j e ⁴
ɕ i ⁴	s j i ⁴
s r j i ⁴	s r i ⁴
b i ⁴	p r i ⁴
d o ¹	ɖʐ u ŋ ¹
p æ ⁴	p æ ⁴
w j e n ¹	z e n ¹
n ɛ ¹	n ɛ ¹
qʰ w æ ¹	qʰ w æ ¹
d o ¹	ɖʐ o ¹
d ɯ ⁴	d j ɯ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
ɣ w æ ⁴	x w a ¹
χ ɯ ⁴	χ ɯ ⁴
tɕ e n ¹	tɕ e n ¹
d ɯ ³	d ɯ ⁵
χ w i ²	x w i ²
tʰ æ n ¹	tʰ æ n ¹
h ɔ ¹	l a ¹
ʈ æ ⁴	ʈ æ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
q o ⁴	q ɔ ⁴
ɕ i ²	s j i ²
m ɯ ⁴	m ɯ ⁴
j o ŋ ²	n j o ²
ɕ a ⁴	ɕ a
d o ŋ ¹	d r o ŋ ¹
tɕ j e n ¹	tɕ e n ¹
tɕ e ¹	tɕ u ¹
k æ ⁴	k æ ⁴
d ɯ ²	dʑ ɯ ²
