ts j u ²	ts u ²
s j i	s j i ⁴
ʈ r u ŋ ¹	ʈ o ŋ ¹
tɕ i ¹	tɕ i ¹
d r ɯ ³	d ɯ ⁵
tʲ a ¹	d ɔ ¹
q w a ⁴	ɣ w a ⁴
s r e ŋ ¹	sʰ r e ŋ ¹
q æ ŋ ¹	q æ n ¹
n j u ŋ ²	ŋ j o ²
n r ə n	n j e ⁴
ʁ o ŋ ŋ ¹	ʁ o ŋ ¹
g r w a ⁴	ɣ w a ⁴
g ɯ ¹	g ɯ ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
q ɯ ¹	q ɯ ¹
t w e n ²	t w e n ²
ɣ ɯ ²	ɣ ɯ ²
ts r i ¹	ts r i ¹
p r a ŋ ⁵	b a ŋ ⁴
sʰ a ŋ ¹	sʰ a ŋ ¹
n w e ŋ ¹	ʁ w e n ¹
m ɯ ⁴	m ɯ ⁴
qʰ ɔ ²	qʰ ɔ ²
tɕʰ i ¹	tɕʰ i ¹
kʰ o ⁴	kʰ o ⁴
q o ŋ ⁴	q ɔ ⁴
d j e n ¹	dʑ e n ¹
q æ ⁵	q æ ⁵
tsʰ r e ²	tsʰ r e n ²
m ɛ ⁵	m ɛ ⁵
tsʲʰ j e n ¹	tsʰ j e n ¹
m o ²	m ø ²
d r r o ⁴	d r o ⁴
n j o ⁴	b j o ⁴
tʰ r æ	tʰ j æ ⁴
tʰ r r æ n ¹	tʰ æ n ¹
t ɯ ⁴	d j ɯ ²
g o ⁴	qʰ ɔ ⁴
p j ə ¹	p e ¹
g r ɯ̃ ²	ɣ ɯ ²
p j o ⁵	p j o ⁵
d r r o ⁴	d r o ⁴
qʰ w i ²	kʰ w ɛ ²
ts r e ŋ ²	ts r e n ²
tɕ ɯ ¹	tɕ u ¹
tʰ j e ²	tʰ j e ²
