m e ²	m ə ²
s r i ²	s r i ²
s j i ⁴	s j i ⁴
qʰ o ¹	qʰ u ¹
d r o ŋ ¹	d r ɔ ¹
ɣ o ŋ ³	g o ŋ ³
tɕ e n ¹	tɕ e n ¹
dʑ i ³	d i ³
d r ɯ ²	d r ɯ ²
ts r o ⁴	ts r o ⁴
g r u ŋ ²	ɣ u ŋ ²
s r w a ¹	ɕ w i ²
sʰ o ⁴	sʰ o ⁴
ŋ ɯ̃ ¹	ŋ ɯ ¹
m o ŋ ²	m ø ²
ɯ ²	ɯ̃ ²
ʈ j o ŋ ¹	d r o ŋ ¹
s i	s r ɯ ²
ts j j e n ⁴	ts j e n ⁵
s r r o ŋ ¹	s o ŋ ¹
s ɔ ²	s ɔ ²
q æ ⁵	q æ ⁵
tʰ e ⁴	tʰ r e ⁴
n o ŋ o ²	n j o ²
b æ ⁴	b æ ⁴
p ɯ ²	p ɯ ²
tɕ a ³	tɕ a ³
p o ŋ ŋ j ¹	z r o ŋ ¹
q o ŋ ¹	q o ŋ ¹
tʰ ɛ	tʰ e ⁴
z ɔ ¹	z ɔ ¹
q a ŋ ¹	q a ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
b j o ŋ ⁴	b j o ⁴
b e ¹	b e ¹
k u ²	k u ²
ɣ ɔ ¹	ɣ ɔ ¹
sʰ w a ⁴	s w a ⁴
d j ɛ n ¹	dʑ e n ¹
tʰ j u ²	tʰ r u ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
j ɯ ¹	j ɯ ¹
p j ɛ ²	p j ɛ ²
ɕ j æ n ¹	s j æ n ¹
pʰ j a ⁴	pʰ r a ⁴
j a ⁴	j a ⁴
q æ n ²	q æ n ¹
