l a ⁵⁵	ˀl a ⁵⁵
ʔ̚ w i ¹¹	ʔ w i ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
l w i ⁵⁵	l̥ w i t̚ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
w i ⁵⁵	w i ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
m ɛ ¹¹	m w ɛ ¹¹
w a ⁵⁵	g w a ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
b i ¹¹	b i ¹¹
n a ¹¹	n a ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
s ə ¹¹	s ə ⁰
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
s o ¹¹	s o ¹¹
kʰ ɨ ʔ̚ ⁵¹	kʰ u k̚ ⁵¹
k ə ʔ ⁰	k ə ʔ̚ ⁰
b l e ⁵⁵	b l e ⁵⁵
r̥ w i ¹¹	r w i ¹¹
ŋ r i ⁵⁵	t r e ⁵⁵
l i ¹¹	l̥ i ¹¹
d ə ʔ ⁵¹	t ə ʔ̚ ⁰
pʰ a ⁵⁵	pʰ a ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
s ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
cʰ w i ⁵¹	kʰ r w i t ⁵¹
ŋ j e ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
ɲ̊ a ¹¹	ɲ̊ a ¹¹
tʰ o ⁵⁵	tʰ au ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
ˀd e ⁵⁵	ˀd e ⁵⁵
k r a ¹¹	g r a ¹¹
