ˀn e̠ ³	ˀn i̠ ¹
m a ³	m a ³
ts ɛ ³	ts ɛ̠ ³
ɣ u ¹	ɣ o ³
kʰ o ²	kʰ o ²
d e̠ ³	d ɛ̠ ³
dz i ²	dʒ e ³
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
v e̠ ³	v i̠ ³
m a ²	m ɛ ²
ˀn i ³	ˀn i ³
m a ²	ˀm u ¹
l a ²	l a ²
h a ¹	h a ¹
tʃ ɛ ³	t e̠ ³
m i ¹	m i ¹
pʰ e̠ ²	pʰ e ²
kʰ ɛ ¹	kʰ a̠ ¹
dz ɛ ²	dz ɛ ²
kʰ e̠ ¹	kʰ e̠ ¹
ɣ ɨ ³	kʰ j o ³
k o ³	k o ¹
p i ¹	p u ¹
t i ²	t i ²
a ²	a ²
s e ²	s ɛ ²
ɣ ɨ ¹	ɣ ɨ ¹
n i̠ ³	n i̠ ³
g i a ²	g a ²
g a ŋ ³	g a̠ ³
b j a ²	b j a ²
ʃ a ³	ʃ a̠ ³
tsʰ i ²	tsʰ ɿ ²
ˀn a ¹	ˀn a ¹
t y ²	t y ²
dz e ²	dz i ³
a ¹	a ¹
a ¹	a ¹
m j a ²	m j a ²
s i ³	s i̠ ¹
pʰ y ²	pʰ y ²
ʃ i̠ ³	ʃ i̠ ¹
d a ŋ ¹	t a ŋ ³
t a ŋ ¹	t a ŋ ¹
ʃ a ²	ʃ a ¹
t a ³	t u ¹
g a ŋ ¹	g a ŋ ³
tʃʰ a ³	tʃʰ e̠ ³
ˀn y ¹	ˀn y ¹
b i ²	b i ²
g u ³	g o̠ ¹
a ¹	a ¹
m a ²	m a ²
g i ²	g u ²
k a̠ ³	k a̠ ³
dz e ²	dz e ²
pʰ j a ²	pʰ a ¹
l ɛ ¹	l ɛ ¹
kʰ ɛ ²	kʰ j ɛ ²
g y ¹	g y ¹
n e ³	n e ³
b ɛ̠ ³	b ɛ̠ ¹
kʰ a ³	kʰ a ³
a ¹	a ¹
ʃ y ¹	s y ¹
ʃ ɛ ¹	s e ¹
m a ²	m o ²
ˀn i ³	ˀn i ³
a ¹	a ¹
ˀl i ²	ˀl i ²
tʃʰ y ¹	tsʰ y ¹
tsʰ i ¹	tsʰ i ¹
ˀv a ¹	ˀv a ¹
ɣ ɨ ³	ɣ ɨ ³
pʰ i ¹	pʰ e̠ ¹
a ¹	a ¹
tsʰ u ¹	tsʰ u ¹
a ²	a ²
b o ²	b e ²
n ɛ ²	n ɛ ²
pʰ a ŋ ¹	pʰ j a ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
kʰ i ²	kʰ a ²
g ɛ ²	g ɛ ²
p a ¹	p a ¹
s e̠ ³	s e̠ ³
pʰ o ²	pʰ i ²
d e ³	d i ³
tsʰ i ²	tsʰ i ²
pʰ j a ŋ ¹	pʰ j a ¹
a ¹	a ¹
dz a ¹	dʒ e̠ ¹
pʰ e ³	pʰ e̠ ¹
ɲ j a ŋ ¹	ŋ j a̠ ¹
p e ¹	p e ¹
m a ¹	m a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s y ²	s y ²
b ɛ ²	b ɛ ²
p ɨ̠ ³	p e̠ ³
tʰ e̠ ³	tʰ e̠ ³
s y ¹	s y ¹
tʰ a ²	tʰ a ŋ ²
d ɛ ²	d ɛ ²
tʃ a ¹	tʃ a ¹
b e̠ ³	b e ³
m j a ²	m j y ²
kʰ a ³	g a ³
ˀm o̠ ²	m o̠ ³
p u ²	p u ²
h e ¹	h e ¹
z e̠ ³	z e̠ ³
ʒ o ¹	ʒ o̠ ¹
kʰ u ²	kʰ u ¹
g a ¹	g j a ¹
a ¹	a ¹
b a ²	b a ²
m a ²	m a ²
s a ²	s a ²
m a ³	m a ³
ts i̠ ²	ts i ²
ɛ ²	ɛ ²
b y ²	b y ²
l a ¹	l a ¹
tʰ i ²	t i̠ ³
