m u ⁴	m ɔ ⁴
tʰ r r æ ⁴	tʰ r æ ⁴
ɖʐ o ¹	ɖʐ o ¹
b j o ŋ ⁴	b j o ⁴
p j o ⁴	p j u ⁴
b i ³	b r i ³
h ɔ ³	h ɔ ³
g u ¹	g u ¹
ŋ w e n ¹	ŋ w e n ¹
sʰ w a ¹	ɕ w i ²
b o ¹	b ã ¹
ɣ ɔ ¹	ɣ ɔ ¹
ŋ j e ²	n j i ²
n o ŋ ²	n o ŋ ³
n j e n ¹	n j e n ¹
ts i ⁴	ts j i ⁴
m i ¹	m i ¹
d j e ⁵	d j ɛ ⁵
qʰ æ ⁴	qʰ a ⁴
k u ŋ ¹	k o ŋ ¹
g r ɯ ŋ ³	g ɯ̃ ³
ŋ w e ŋ ²	ŋ w e n ²
qʰ w a ⁴	qʰ w a ⁴
tʰ a ⁴	tʰ a ⁴
tsʰ o ⁴	tsʰ o ⁴
s j e n ¹	s j e n ¹
s ɔ ²	s ɔ ²
x w i ²	x w i ²
p r æ ⁴	p r æ ⁴
b æ n ²	b æ n ³
qʰ o	qʰ ɔ ⁴
g o ¹	g o ¹
s j o ŋ ²	ɕ w i ²
qʰ ɔ ¹	qʰ ɔ ¹
ɣ j a ⁴	tsʰ w a ⁴
ɯ ²	ɯ̃ ²
tsʲʰ i ⁴	tsʰ j i ⁴
m æ ⁴	m æ ⁴
q w ɛ ⁵	q w ɛ ³
s a	s a ⁴
m u ¹	m ɔ ¹
tʰ u ¹	tʰ r u ¹
pʰ ɔ ³	pʰ ɔ ³
m o ²	m ø ²
d r o ŋ ¹	d r o ŋ ¹
ɣ ɔ ⁴	ɣ u ⁴
j ɯ	j ɯ ⁴
