ʈ r ɯ ¹	d r ɯ̃ ¹
p ɯ ²	p u ²
t æ ⁴	t æ ŋ ⁴
j e n ¹	j e n ¹
m ɯ ⁴	m ɯ ⁴
m ɯ ²	m ɯ ²
p j e n ¹	p r e n ¹
qʰ w a ⁴	qʰ w a ⁴
tɕ r æ n ³	dʑ æ n ³
ɣ ɯ ²	ɣ ɯ ²
ts i ¹	ts r e ŋ ¹
tsʰ i ¹	tsʰ j i ¹
ʈ o ¹	d r o ŋ ¹
d ɯ ¹	d j ɯ ¹
tɕʰ e ⁴	tʰ e ⁴
q ɯ ¹	q ɯ ¹
p j o ²	p j o ²
s r o ¹	sʰ r ɔ ¹
j a ⁴	j a ⁴
qʰ j ɔ ²	qʰ ɔ ²
d ɯ ²	dʑ ɯ ²
tɕʰ e n ¹	tsʲʰ e n ¹
n ɛ ¹	w u ⁴
sʰ j e n ⁵	s e n ⁵
s r r æ ²	s r e ŋ ²
tʰ u ŋ ²	tʰ u ²
qʰ o ³	kʰ r o ³
j o ⁴	j ɔ ⁴
n j e ²	n j i ⁴
s ɔ ²	s u ŋ ²
ŋ w a ŋ ⁴	ŋ w a ⁴
pʰ ɔ ³	pʰ ɔ ³
tsʰ ø ¹	tsʰ u ŋ ¹
tʰ i ²	tʰ j e ²
ŋ ɛ ¹	ŋ ɔ ¹
tsʰ i ³	tsʰ e ³
ʈ w e n ⁵	ɖʐ w e n ⁵
j o n ²	n j o ²
qʰ j u ²	qʰ u ²
tʰ r a ⁴	tʰ a ⁴
ɖʐ o ŋ ¹	z r o ŋ ¹
b j i ²	b j ɛ ²
ɕ j e n ¹	s j e n ¹
j æ ⁵	b j o ²
b æ n ¹	b æ ŋ ¹
ŋ w æ ⁵	ŋ w æ ⁵
