g j ɛ̠ ¹	g ɛ̠ ¹
n i̠ ¹	n i̠ ¹
d e̠ ³	d ɛ̠ ³
h e̠ ³	h e̠ ³
l e̠ ³	l e̠ ³
pʰ a ŋ ¹	pʰ j a ¹
ˀm a̠ ³	ˀm j y̠ ¹
ˀn i ¹	ˀn i ¹
g y j ²	g y ²
ˀl u ³	ˀl u ³
k a ²	k a ŋ ²
ɛ̠ ²	e ²
k j ɛ ²	k j e ²
p y ³	p y ³
ˀn o̠ ³	ˀn u̠ ³
pʰ a ²	pʰ a ²
d e̠ ¹	d e̠ ¹
ɣ y ³	ɣ o ³
kʰ ɛ ³	kʰ ɛ ²
ˀl a ²	l a ²
m a ŋ ²	m a ŋ ²
k a ¹	k a ¹
l a ²	l a ²
g j a ³	g a ³
ɣ i ³	ɣ i̠ ³
b ɛ̠ ¹	b ɛ̠ ¹
h y̠ ²	h y̠ ³
kʰ ɨ ¹	kʰ i ¹
l i ³	ˀl i ³
ts ɿ ²	ts i ²
v e̠ ¹	v e ¹
tsʰ i ¹	tsʰ i̠ ¹
m e̠ ³	ˀm e̠ ³
b ɨ ²	b ɨ ¹
ˀm i ³	m i ¹
ˀl y ¹	ˀl y ¹
ˀn a ¹	ˀn a ¹
p ɛ ³	p ɛ ³
g i ¹	g y ¹
tʃʰ o ²	n u ²
h u ¹	ˀx o̠ ¹
tʃʰ e ²	tʃʰ e ²
a ¹	a ¹
ɣ i ¹	ɣ i ¹
d u ²	d u ²
a ²	a ²
dʒ i ³	dʒ i ³
m o̠ ¹	m o̠ ¹
kʰ i ²	kʰ ɨ ²
kʰ i ²	kʰ i ²
tsʰ i̠ ¹	tʃʰ e ¹
v a ¹	v u ¹
x i ³	x ɨ̠ ³
tʰ a ŋ ²	tʰ a ŋ ²
x a̠ ³	x a̠ ³
kʰ i ¹	kʰ i ¹
kʰ o ¹	kʰ o ¹
g e̠ ³	g j e̠ ¹
pʰ i ²	pʰ o ²
tsʰ e̠ ¹	tsʰ e̠ ¹
ˀn e̠ ¹	ˀn i ¹
l ɛ̠ ³	l e̠ ³
ˀl o̠ ³	ˀl o̠ ¹
tʃ y ²	k j y ²
a ¹	a ¹
a ¹	a ¹
n y ¹	n y ¹
ts o̠ ³	ts o̠ ¹
ˀm o ¹	ˀm y̠ ¹
b o ³	b u̠ ¹
s ɛ ²	s ɛ ²
ˀl u ¹	l u ³
tʰ a ²	tʰ a ²
kʰ i ³	kʰ ɨ ³
m o ²	m o ²
g j i ¹	g i ¹
s e̠ ³	s e̠ ³
x a ¹	x a ¹
kʰ ɨ ¹	kʰ i ¹
l o̠ ³	ˀl o̠ ³
x i ²	x ɨ ²
n i ²	n i ²
ˀm o̠ ²	m o̠ ³
m a̠ ²	m a ²
a ¹	a ¹
tʰ a ŋ ²	tʰ a ŋ ²
b a ŋ ³	b a ŋ ³
m o ¹	m ɨ ¹
m e ¹	m e ¹
m u ³	m a ŋ ³
k ɛ ¹	kʰ a̠ ¹
kʰ a ²	kʰ a ¹
ˀn i ³	ˀn i ³
h e ¹	h e ¹
d y ²	d y ²
tʃ i̠ ¹	tʃ u ¹
a ¹	a ¹
ɲ e̠ ³	n i̠ ³
m i ¹	m e ¹
n i ²	n i ²
ɣ ɨ ¹	ɣ ɨ ¹
ʃ ɨ ²	ʃ ɨ̠ ³
tʃʰ a ²	tsʰ i ²
s i̠ ³	s i̠ ³
ˀm e̠ ³	ˀm j e̠ ¹
ɣ i ³	ɣ ɨ ³
t y ²	g j y ²
ɣ i ¹	ɣ i ¹
tʰ y ³	tʰ y ³
h a ³	h ɛ̠ ¹
b ɨ̠ ¹	b ɨ̠ ¹
x y ¹	x y ¹
d u ¹	d a ŋ ¹
m ɛ ²	m ɛ ²
b e ²	b o ²
ŋ a ¹	ŋ a ¹
tʃ ɛ̠ ³	tʃ ɛ̠ ³
ˀm i ³	ˀm i ³
v a ³	v a ³
m a ³	m a ³
ɣ i ³	ɣ i̠ ³
p a̠ ³	p a̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
kʰ j ɨ̠ ²	kʰ ɨ̠ ¹
