w ? ¹	w u ⁴
s w a ⁴	s w a ⁴
j o ²	n j o ²
tʰ j e ²	tʰ j e ²
d r o ŋ ¹	d r o ŋ ¹
ŋ w ɯ ⁴	b j ɛ ⁴
ŋ o ŋ ²	ŋ u ²
tɕ ɯ ¹	tɕ u ¹
ɕ ŋ i ²	ɕ w i ²
ɯ ²	ɯ̃ ²
sʰ w a ⁴	sʰ w a ⁴
χ ɯ ²	χ ɯ̃ ²
n u ¹	n j o ŋ ¹
ɣ e ŋ ¹	ɣ æ ¹
ts r o ŋ ¹	ts u ŋ ¹
q a ŋ ¹	q a ŋ ¹
ŋ r e n ¹	z e n ¹
ɕ i ²	s j i ²
d ɔ ⁵	d ɔ ⁵
tɕ i ²	dʑ i ²
kʰ o ⁴	kʰ o ⁴
p ɯ ²	p u ²
ŋ w a ŋ ⁴	ŋ w a ⁴
m e ²	m ə ²
ɣ æ ⁴	ɣ æ ⁴
d o ¹	ɖʐ o ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
pʰ æ ⁴	pʰ æ ⁴
ts ɯ ²	dʑ ɯ ²
m o ⁴	m ɔ ⁴
q a ŋ ¹	q a ŋ ¹
d r ɯ ³	d r ɯ ³
t w e n ²	t w e n ²
b j a ⁴	b r æ ⁴
ŋ r æ ³	b j o ²
tsʰ o ŋ ¹	tsʰ o ŋ ¹
qʰ o ⁴	qʰ ɔ ⁴
tsʰ ø ŋ ¹	tsʰ u ŋ ¹
k o ⁵	k o ⁵
tɕʰ i ⁴	tsʰ j i ⁴
ŋ w e ŋ ¹	ʁ w e n ¹
m i ²	m i ²
χ w a ⁴	h w a ⁴
qʰ w i ²	kʰ w ɛ ²
ŋ w e n ¹	ŋ w e n ¹
k w i ¹	k w ɛ ¹
