t w a ⁴	d w a ⁴
p r a	pʰ a ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
m ø ²	m ø ²
d r ɯ ²	d r ɯ ²
t w ɛ ⁴	d w ɛ ⁵
sʰ r ɯ ²	sʰ r ɯ ²
s ɔ ²	s ɔ ²
tʰ u ¹	tʰ r u ¹
sʰ o ⁴	sʰ o ⁴
g o ŋ ³	g o ŋ ³
ɖʐ i ¹	ɖʐ i ¹
m ɯ	m ɯ ⁴
j ɯ ¹	j ɯ ¹
tʰ a ⁴	tʰ a ⁴
m i ²	m i ²
b r u ²	b ɯ ²
tɕʰ i ¹	tɕʰ i ¹
n o ŋ ¹	n o ŋ ¹
ts j i	ts j i ⁴
ts o ŋ ²	ts u ŋ ²
ʁ ɯ ⁴	ʁ ɯ ⁴
q w ɛ ⁵	q w ɛ ³
q æ ⁵	q æ ⁵
s r u ŋ ³	s r o ⁵
tɕ æ ⁴	tɕ æ ¹
n e ⁴	n j i ⁴
m ɛ ²	m ɛ ²
k r o ²	k r o ²
n r ɛ ŋ ²	n j i ²
ts i ²	ts r i ²
ŋ ɯ̃ ¹	ŋ ɯ ¹
s o ŋ ŋ ³	s u ŋ ³
sʰ w a ⁴	sʰ w a ⁴
ŋ u ŋ ²	ŋ u ²
m ɛ ¹	m ɛ ¹
x ɯ ²	x ɯ ³³
s j i ⁴	s j i ⁴
b e ²	b e ²
q o ŋ ¹	q o ŋ ¹
b r ɔ ³	b ɔ ³
ŋ o ¹	ŋ o ¹
sʰ r æ ⁴	sʰ r æ ⁴
p ɛ ¹	p j e ¹
ɖʐ o ¹	ɖʐ o ¹
p r æ ⁴	p r æ ⁴
pʰ ɔ ³	pʰ ɔ ³
