dz e ³	dʒ e ¹
n i̠ ¹	n i̠ ¹
dʒ i ³	dz i ²
t o̠ ²	t u ³
ŋ u ¹	ˀŋ y ¹
tʰ ɛ ³	tʰ ɛ ³
ɨ̠ ³	ɨ̠ ¹
d u ¹	d u ¹
a ¹	a ¹
ˀŋ j a ¹	ŋ j a̠ ¹
n̩ ²	n̩ ²
tʃʰ i̠ ²	tʃʰ i ²
n i ²	n i ²
g y ¹	g y ¹
tʃ ɛ ³	t e̠ ³
s i ¹	s i ¹
kʰ i ¹	kʰ i ¹
ˀm e̠ ¹	ˀm j e̠ ¹
pʰ a ŋ ¹	pʰ j a ¹
dʒ i ²	dz i ²
x i ²	x ɨ ²
tʃʰ e ²	tsʰ i ²
d i ¹	d i ¹
g a ¹	g a ¹
ɣ i ¹	ɣ ɨ ¹
tʰ y ³	tʰ y ³
tʰ u ¹	tʰ u ¹
g j a ¹	g j a ¹
ˀm ɛ ²	ˀm ɛ ¹
n u ¹	n u̠ ¹
kʰ o ²	kʰ a ²
ˀn i ³	ˀn i ³
m ɛ ²	m ɛ ²
ɣ u ²	ɣ u ²
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
g a ŋ ¹	g a ŋ ¹
z a ²	z a ²
ʒ i̠ ³	x i̠ ³
p o̠ ¹	pʰ o̠ ¹
a ¹	a ¹
l i ²	ˀl i ³
ˀl o̠ ¹	ˀl o̠ ¹
ˀn a ²	ˀn a ²
m a ³	m a ³
l i ²	ˀl i ²
ɣ a ŋ ²	ɣ a ŋ ²
b y ¹	b y ¹
ˀl o̠ ¹	ˀl o̠ ¹
a ¹	a ¹
k o̠ ³	k o̠ ¹
l a ²	l a ²
kʰ o̠ ³	kʰ o̠ ¹
p ɨ ¹	p ɨ ¹
a ¹	a ¹
s e̠ ³	s e̠ ³
x a ³	ˀx a ³
d e̠ ³	e̠ ¹
d u ¹	d u ¹
s i ¹	s i̠ ¹
b j ɛ̠ ²	b e ²
k y ³	k j i ³
dʒ ɛ ¹	dʒ ɛ ¹
pʰ a ²	pʰ a ²
p i ¹	p ɨ̠ ¹
ˀn i ¹	ˀn i ¹
g a ³	g a ³
h u ³	h u ¹
s y ²	s y ²
n e ³	n e ³
dʒ o ³	dz i̠ ¹
x i ³	x ɨ̠ ³
kʰ i ²	kʰ i ²
k a̠ ²	k a ŋ ²
m a ³	m a ³
x ɛ ²	x ɛ ²
a ¹	a ¹
f ɛ ³	f ɛ ³
ˀl a ¹	ˀl a ¹
pʰ u ¹	pʰ u ³
tʃʰ i ¹	tʃʰ e ¹
m i ¹	m i ¹
g u ¹	g o ŋ ¹
dz e ¹	dz e ¹
k a ŋ ³	k u ³³
ʒ e ³³	tʰ u ³
tʃʰ ɨ ²	tsʰ ɿ ²
ts a ¹	ts a ¹
ts ɿ ¹	ts u ¹
a ¹	a ¹
dz i ³	dz i ³
p ɨ ¹	p ɨ ¹
h e ¹	h e ¹
m̩ ²	m̩ ²
kʰ i̠ ³	kʰ ɨ̠ ³
ɣ i ¹	ɣ i ¹
h u ¹	ˀx o̠ ¹
ɣ i ¹	ɣ i ¹
s i ²	s i ²
ˀv a ¹	ˀv a ¹
tʰ a ²	tʰ a ŋ ²
ʒ ¹	v u ¹
ˀl o̠ ¹	ˀl o̠ ¹
d o ²	d u ²
k i ¹	k i ¹
h e̠ ³	h e̠ ³
t e̠ ¹	t e̠ ¹
l e̠ ²	l a ²
pʰ ɨ ¹	pʰ ɨ ¹
k e̠ ³	tʃ e̠ ³
a ²	a ²
l y ²	l y ²
m y̠ ³	m ɨ ²
kʰ a ¹	kʰ a ¹
b o̠ ¹	pʰ u ²
dz e ²	dz i ²
b y ²	b a ²
x a ²	x a ²
k ɛ ²	k j e ²
h e ¹	h e ¹
tʃ e̠ ³	ts e̠ ³
n y ²	n e̠ ³
ˀn e ³	ˀn i ³
a ¹	a ¹
t i ¹	t i ¹
