g j i ²	g j u ²
v e̠ ¹	v e ¹
kʰ i ¹	kʰ i ¹
kʰ i ²	kʰ ɨ ²
n i ²	n̩ ²
h a ¹	h a ¹
pʰ a ²	pʰ a ²
ʃ a ¹	ʃ a ¹
kʰ i ¹	kʰ i ¹
m e̠ ³	ˀm e̠ ³
h e ¹	h e ¹
p ɨ̠ ³	p e̠ ³
ˀm y ²	ˀm y ²
t ɛ ³	t a ³
ɣ e ¹	ɣ ɛ ¹
ɣ e ²	ɣ ɛ ²
ʃ ɨ ²	ʃ ɨ̠ ³
b i ³	b ɨ̠ ¹
a ²	a ²
ˀm ɛ ¹	ˀm ɛ ¹
p i ¹	p y ¹
d y ²	d y ²
k a ¹	g ɨ ¹
d u ³	tsʰ o̠ ¹
tsʰ i ²	tsʰ i ²
ʃ i ²	ʃ ɨ ²
h ɛ ¹	h ɛ̠ ¹
x a ³	ˀx a ³
b o ³	b o ³
tʃ ɛ ¹	tʃ ɛ ¹
a ¹	a ¹
k a ŋ ¹	k a ŋ ¹
a ¹	a ¹
dz i ²	dz e ²
p a̠ ¹	p a̠ ³
kʰ o ¹	kʰ o ¹
tʰ a ²	tʰ a ²
ʒ e̠ ¹	ɣ e̠ ¹
s i ¹	s i̠ ¹
kʰ a ¹	kʰ a ¹
g a ³	g a ³
b a ¹	b a ŋ ³
ŋ a ¹	ŋ a ¹
p u ²	p u ²
z e̠ ³	z e̠ ³
ˀn a ²	ˀn a ²
b y ²	b y ²
z o ³	h a ¹
ˀv u ²	v y ²
k a ³	k a ¹
b ɛ ¹	b j e̠ ³
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
ˀv a ¹	ˀv a ¹
dz i ²	tʰ a ²
tʰ a ³	dz ɛ̠ ³
s e̠ ³	s e̠ ³
d o̠ ²	tʃʰ e̠ ¹
k a ²	k a ŋ ²
ˀm e̠ ¹	ˀm j e̠ ¹
m o ¹	m u ¹
tsʰ u ¹	tsʰ u ¹
i ²	i ²
h y̠ ³	h y̠ ³
dz y ²	dz y ²
b y ²	b y ²
g ɛ ²	s y ²
s ɛ ²	s ɛ ²
s e̠ ³	ʃ e̠ ³
k y ²	k a ŋ ²
m y ²	m ɨ ²
g i ¹	tsʰ i̠ ³
k a ²	k a ²
l u ¹	l y ¹
f u ³	f u ³
p ɛ̠ ³	p ɛ̠ ¹
ˀl u ³	ˀl u ³
ʃ a ²	s u ¹
ˀn i ¹	ˀn i ¹
n y ¹	n y ¹
m ɛ̠ ²	m ɛ ²
tʃʰ ɛ ²	tʃʰ ɛ ²
ɣ i ³	ɣ y ¹
ˀl a ¹	l a ŋ ¹
pʰ e ³	pʰ e ¹
ˀn i ³	ˀn i ³
t u ¹	t u ¹
j y ¹	ˀm j y̠ ¹
tsʰ a ¹	tsʰ a ¹
z a ²	z a ²
a ²	a ²
n i ²	n i ²
ɛ ²	ɛ ²
tsʰ e ¹	tsʰ e ¹
b y ¹	b y ¹
kʰ a ³	g a ³
g i ¹	s i ¹
dz u ³	dz ɿ ³
ˀm a ²	m u ²
t ɛ ¹	t ɛ ¹
g i ²	g ɨ ²
z i̠ ³	z i ³
b o ²	b o ²
s a ¹	s a ¹
b a ²	v a ŋ ²
tʰ a ²	tʰ a ²
b i ²	b i ²
b e̠ ¹	b e̠ ¹
kʰ a ²	kʰ a ²
kʰ u ²	kʰ u ²
m a ³	m a ³
tʰ a ²	tʰ a ŋ ²
pʰ u ³	pʰ u ³
m a ²	m a ²
pʰ u ¹	pʰ u ¹
tʃ u ¹	ts u ¹
ˀm o ³	ˀm y̠ ¹
d a ²	d y ²
g o ²	g o ²
a ¹	a ¹
d e̠ ³	d ɛ̠ ³
v e̠ ³	v e̠ ³
b ɛ ³	b ɛ ¹
b a ³	b a ³
t a ³	t a ³
