k u ¹¹	k u ⁵⁵
l w i t̚ ⁵¹	l̥ w i t̚ ⁵⁵
l a ŋ ⁵⁵	l a m ⁵⁵
d a ʔ ⁵¹	d a ʔ̚ ⁵¹
kʰ w ɔ ⁵⁵	kʰ w au ⁵⁵
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
ˀb j a ¹¹	p j a ¹¹
l a ⁵⁵	l a ⁵⁵
c w u ⁵⁵	c u ⁵⁵
ˀd ɛ ⁰	ˀd ɛ ⁵⁵
s a ¹¹	s a ¹¹
cʰ r a ¹¹	cʰ a ¹¹
d ə ¹¹	d ə ¹¹
h l a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
ˀb a ŋ ⁵⁵	ˀb a ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
h r e ⁵⁵	t r e ⁵⁵
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
h a ʔ ⁰	h a t̚ ⁵¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
r w i ʔ̚ ³³	r̥ w i ʔ̚ ⁵¹
n a ¹¹	n a ¹¹
r u n ⁵⁵	r̥ u n ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
kʰ l ei ¹¹	kʰ l ei ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
ŋ j a ⁵⁵	r j a ⁵⁵
l ei ¹¹	l̥ ai ¹¹
m u ¹¹	m u ¹¹
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
l a ŋ ⁵⁵	l a ʔ̚ ³³
l i ¹¹	l̥ i ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
