b i ³	b r i ³
b u ¹	p e ¹
n ɔ n ³	n ɔ ³
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tɕʰ e n ¹	tsʰ j e n ¹
t ɯ ŋ ⁵	tʲ ɯ ⁵
ɖʐ ø ŋ ¹	ts u ŋ ¹
tʰ r a ⁴	tʰ j æ ⁴
p j o ²	p j ɛ ²
ʈ æ ⁴	ʈ æ ⁴
s r ɯ ²	sʰ r ɯ ²
sʰ w a ⁴	sʰ w a ⁴
x e n ¹	x e n ¹
t ɯ ⁴	d j ɯ ²
sʰ w a ŋ ³	sʰ w a ŋ ³
qʰ ɛ n ¹	qʰ e n ¹
m r i ¹	m j i ¹
d o ⁴	d r o ⁴
j i ³	j i ³
p j i ³	pʰ j ɛ ³
ɣ ɯ ³	ɣ ɯ ³
s o ⁴	s ɔ ⁴
d o ŋ ²	ɖʐ u ŋ ²
b r i ¹	b r i ²
ɣ o ¹	ɣ ɔ ¹
h e n ²	ɖʐ e n ²
tsʰ o ¹	tsʰ u ŋ ¹
p i ¹	tɕ u ¹
n r e n ²	n j i ²
j e n ¹	j e n ¹
pʰ æ ¹	pʰ r æ ¹
ts r u ²	ts u ²
q a ⁴	q æ ⁴
s w a n ¹	s w a ŋ ¹
s w a ŋ ¹	s w a ŋ ²¹
m ø ²	m ø ²
m i ²	m i ²
d r ɯ ¹	d r ɯ ³
tɕʰ i ³	tsʰ e ³
d ɔ ¹	d ɔ ¹
ɕ j e n ¹	z e n ¹
ts j j ɯ ²	tɕ ɯ ²
s o ³	sʰ ɔ ³
q ɯ ¹	q ɯ ¹
p i ¹	tɕ i ¹
ts o ⁵	ts o ⁵
