p ɔ ²	p j o ²
x e n ¹	x e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
ɕ j æ n ¹	s j æ n ¹
qʰ a ⁴	qʰ a ⁴
m o ŋ ²	m ø ²
z ɯ ³	z ɯ ³
n e ⁴	n e ⁴
s ɛ n ⁵	s e n ⁵
qʰ o ²	kʰ r o ²
ts o ŋ ŋ ¹	ts u ŋ ¹
b æ ¹	b æ ¹
m ɯ ¹	m ɯ ¹
qʰ j o ŋ ²	qʰ ɔ ²
tsʰ w a ŋ ²	tsʰ w a ŋ ²
m ø ŋ ²	m ø ²
b o ¹	b ã ¹
b e ¹	b e ¹
b ɯ ¹	b ɯ ¹
k o ⁵	k o ⁵
j a ⁴	j a ⁴
z ɔ ¹	z ɔ ¹
s r o ¹	s r o ¹
d i ɯ ¹	d j ɯ ¹
m r æ n ¹	m j æ ¹
qʰ w a ⁴	ɣ w a ⁴
m a ⁴	m a ⁴
q w ɛ ⁵	q w ɛ ³
g ɔ ¹	g ɔ ¹
ts i ⁴	ts j i ⁴
tʰ e ⁴	tʰ r e ⁴
ʔ o ⁴	ʔ o ⁴
s r i ⁴	s r i ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ɖʐ o ³	ɖʐ o ³
j a ⁴	j a ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
b ɯ ¹	b r i ¹
n ɔ ³	n ɔ ³
ɖʐ i ¹	ɖʐ i ¹
ɣ ɔ ¹	ɣ ɔ ¹
n j i ⁴	n j e ⁴
ʈ r o ⁴	d r o ⁴
ɕ r o ŋ ¹	ɕ o ŋ ¹
s j e n ¹	sʰ j e n ¹
ɕ a ⁴	ɕ a
t æ ¹	t æ ¹
