b ø ²	b j ɛ ²
ɣ æ ⁴	ɣ æ ⁴
tɕ i ³	d i ³
q æ ⁵	q æ ⁵
q o ŋ ¹	q o ŋ ¹
n j o ŋ ²	n j o ŋ ²
d i ⁴	tɕʰ i ⁴
χ ɯ ⁴	χ ɯ ⁴
ɕ r i ⁴	ɕ i ⁴
m æ ¹	m æ ¹
m ɔ ¹	m ɔ ¹
tɕ i ⁴	d i ⁴
n j e n ¹	n j e n ¹
ʈ o ⁴	d r o ⁴
p a ⁴	b r æ ⁴
sʰ w a ¹	ɕ w i ²
p r æ ⁴	p r æ ⁴
pʰ æ n ³	pʰ æ n ³
tsʰ o ŋ ³	tsʰ o ŋ ³
m ɛ ³	m i ¹
q ɯ ¹	q ɯ ¹
ts j j e n ⁵	ts j e n ⁵
ts o ŋ ¹	dz o ŋ ¹
tʰ o ŋ ¹	tʰ r o ŋ ¹
tsʰ i ¹	tsʰ j i ¹
ɣ i ⁴	tsʰ j i ⁴
ɣ w a ⁴	ɣ w a ⁴
q j u ²	ɣ ɯ̃ ²
t ɯ ⁴	t ɯ ⁴
ŋ ɔ ³	ŋ ɔ ³
s w a n ¹	s w a ŋ ¹
n ɯ ¹	w u ⁴
s r ŋ i ¹	s r e ŋ ¹
m æ ²	m æ ²
b p j o ⁴	b j o ⁴
s r ɯ ²	sʰ r ɯ ²
ɣ ɯ ²	ɣ ɯ ²
ts i ⁴	ɖʐ i ⁴
d r æ ⁴	b j o ²
m a ⁴	m a ⁴
t æ ⁴	t æ ŋ ⁴
b r i ²	b r i ²
q w ɛ ³	q w ɛ ³
tɕ j e n ¹	tɕ e n ¹
tɕ j æ n ¹	tsʰ j æ n ¹
m ɯ ²	m ɯ ²
