tʰ æ ⁴	tʰ r æ ⁴
h a ŋ ³	h a ŋ ⁵
k u ²	k u ²
tsʰ o ŋ ³	tsʰ o ŋ ³
ŋ w a ŋ ⁴	ŋ w a ⁴
b i ⁴	p r i ⁴
ɕ j e n ¹	s j e n ¹
ʈ w ɛ n ⁵	ɖʐ w e n ⁵
s o ³	sʰ ɔ ³
j o ²	n j o ²
ɖʐ i ¹	ts r i ¹
p j o ²	p j o ²
p ɯ ²	p u ²
ŋ o ³	ŋ o ³
tʰ e ²	tʰ j e ²
q w a ⁴	q w a ⁴
ɕ i ²	s j i ²
ɕ o ŋ ¹	ɕ o ŋ ¹
p j o ³	pʰ j ɛ ³
p r æ ⁴	p r æ ⁴
m ɛ ³	m i ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
qʰ o ŋ ¹	kʰ u ŋ ¹
k o ⁵	k o ⁵
m ɔ ⁴	m ɯ ⁴
s a ŋ ³	s u ŋ ³
b r ɯ ³	p u ³
k w i ¹	k w ɛ ¹
b æ n ³	b æ n ³
ŋ o ŋ ²	ŋ u ²
q æ ⁴	q æ ⁴
s r ɔ ¹	sʰ r ɔ ¹
g ɯ ¹	k ɯ ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
m ø ²	m ø ²
j ɯ ⁴	j ɯ ⁴
p j a ⁴	b r æ ⁴
n j e n ¹	n j e n ¹
x w i ²	x w i ²
qʰ ɛ ¹	qʰ e n ¹
b ɯ ¹	b ɯ ¹
ts w e ⁴	ts w ɛ ⁴
pʰ æ ¹	pʰ æ ¹
ts u ⁴	dz o ⁴
p j ɔ ¹	p r ɔ ¹
t ɯ ⁵	tʲ ɯ ⁵
