cʰ u ŋ ⁵⁵	cʰ u ɴ ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
l w ɛ ⁵⁵	l w ɛ ⁵⁵
tʰ au ⁵⁵	tʰ au ⁵⁵
ŋ j ai ⁵⁵	ŋ j ai ⁵⁵
tʰ ei ⁵⁵	tʰ ei ⁵⁵
m a ⁵⁵	m a ⁵⁵
pʰ ŋ u ⁰	pʰ r u ɴ ⁵⁵
j ou ¹¹	j ou ¹¹
tʰ w i ¹¹	tʰ w i ¹¹
ɟ i m ¹¹	ɟ i m ¹¹
n a ¹¹	n̥ a ¹¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
w a ⁵⁵	g w a ⁵⁵
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
c w u ⁵⁵	c u ⁵⁵
l a ⁵⁵	l a ⁵⁵
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
m i ɴ ⁵⁵	ˀm i n ⁵⁵
ˀd o ¹¹	ˀd o ¹¹
k ɨ ⁵⁵	k ɨ ⁵⁵
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
m ei ⁵⁵	m̥ ei ⁵⁵
ˀb u ⁵⁵	ˀb ə ⁵⁵
g a ŋ ⁵⁵	g a ŋ ⁵⁵
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
s w i ¹¹	s w i ¹¹
ˀb a ¹¹	ˀb a ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
j a ¹¹	j ə ⁰
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
ɲ̊ a ⁵⁵	ɲ̊ au ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
