p j o ⁴	p j u ⁴
qʰ ɔ ¹	qʰ ɔ ¹
s w a ŋ ¹	s w a ŋ ²¹
s r r o ⁵	s r o ⁴
tʰ r o ⁴	tʰ r o ⁴
q ɯ ¹	q ɯ ¹
q ɯ ¹	ɣ ɯ ¹
p j ɛ ²	p j ɛ ²
b e ŋ ʔ ¹	p r i ¹
tsʰ j i ¹	tsʰ j i ¹
d r ɔ ¹	d r ɔ ¹
tsʰ j i ³	tsʰ e ³
p r ɛ ²	p ɛ ²
qʰ o ŋ ¹	ɣ o ŋ ¹
m ɯ ³	m ɯ ⁵
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
s ɔ ²	s ɔ ²
d ɔ ⁵	d ɔ ⁵
kʰ r o ŋ ¹	qʰ o ŋ ¹
pʰ j a ⁴	pʰ r a ⁴
m r æ ¹	m j æ ¹
ŋ w æ ⁵	ŋ w æ ⁵
tɕ j æ ⁴	tɕ æ ¹
s j e n ¹	s j e n ¹
p j ɔ ¹	p r ɔ ¹
sʰ w a ⁴	sʰ w a ⁴
q æ n ²	q æ n ¹
m ɛ ¹	m ɛ ¹
m ɛ ³	m i ¹
tʰ u ŋ ²	tʰ u ²
tʰ ʔ u ²	tʰ r u ²
tsʰ j w e n ¹	tsʰ w e n ¹
d r r o ⁴	d r o ⁴
m ɯ ŋ ¹	m ɯ ¹
p j e ¹	p e ¹
d j æ n ¹	d r æ n ¹
t w a ⁴	d w a ⁴
sʰ w a ŋ ³	sʰ w a ŋ ³
ɣ æ ⁴	ɣ æ ⁴
dʑ a ⁴	dʑ a ⁴
sʰ ɛ ⁴	sʰ ɛ ⁴
ŋ o ¹	ŋ ɔ ¹
q o ¹	k r o ŋ ¹
ɣ a ŋ ¹	ɣ æ ¹
tʰ r æ ⁴	tʰ j æ ⁴
o ⁴	ɔ ⁴
q w a ⁴	ɣ w a ⁴
