ʃ a ŋ ¹	ʃ u ³
ɣ y ¹	ɣ y ¹
v e̠ ³	v e̠ ³
a ¹	a ¹
ˀl y ³	ˀl y ³
d a ŋ ¹	d a ŋ ¹
pʰ o ²	pʰ e ²
kʰ e ³	kʰ j e ¹
dʒ e̠ ²	dʒ ɛ ²
m a ³	m a ³
m e̠ ¹	ˀm j y̠ ¹
tsʰ i ²	tsʰ i ²
h e ¹	h e ¹
ts ɨ ²	ts i ²
p a̠ ³	p a̠ ³
m a ŋ ²	m a ŋ ²
m u ³	m u ³
? a ³	x i ¹
l y ¹	l y ¹
a ¹	a ¹
j v a ³	v a ³
b e̠ ²	b y ²
pʰ o ŋ ³	pʰ u ²
b e̠ ³	b e̠ ³
l e̠ ³	l e̠ ³
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
ˀm e̠ ³	ˀm e̠ ¹
ɣ a ³	ɣ a ³
ˀn a ²	ˀn a ²
tʰ a ²	tʰ a ²
n i ³	ˀn i ³
ˀm ɛ ³	ˀm ɛ ²
ts o̠ ³	ts o̠ ¹
ts e̠ ²	ts e ²
tsʰ i ²	kʰ j i ²
s y ²	ʃ y ²
v a ³	v a ²
j a ¹	j a ŋ ²
pʰ e̠ ¹	pʰ e̠ ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
tsʰ i ²	d i ²
e ²	e ²
p u ²	p u ²
kʰ j e̠ ³	tsʰ e̠ ¹
e ²	e ²
t e ³	t i̠ ³
z a ²	z a ²
ɲ i ³	ˀn i ³
s i̠ ³	s i̠ ³
h a ¹	ˀx a ¹
b e̠ ³³	b e ³
ʃ a ¹	ʃ a ¹
k a ¹	k a ŋ ¹
ŋ a ²	ŋ a ²
ʃ i̠ ¹	ʃ i ¹
g u ²	g u ²
pʰ a ŋ ¹	pʰ j a ¹
ˀl u ³	ˀl u ³
ʒ i̠ ²	ʒ i̠ ³
b e̠ ¹	b e̠ ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
m e ¹	m e ¹
a ¹	a ¹
h ɛ̠ ¹	h ɛ̠ ¹
kʰ o̠ ²	kʰ o ²
t o̠ ³	d o̠ ³
pʰ a ²	pʰ a ²
pʰ u ³	pʰ u ³
t a ³	t a̠ ³
dz a ²	dz a ²
n j a̠ ³	ɲ a̠ ³
x a ²	x a ²
b y ³	b y ³
b ɛ ²	b o ¹
tʰ u ²	tʰ u ²
ˀn a ŋ ¹	n a ŋ ³
dz a ¹	dz a ²
b o̠ ²	b o̠ ¹
m e ¹	ˀm j y̠ ¹
dz y ¹	dz y ¹
t e ¹	t a ³
m i ¹	m i ¹
k a ²	k a ²
ɣ i ¹	ɣ i ¹
ɣ ɨ̠ ¹	ɣ ɨ ¹
m o̠ ¹	m o̠ ¹
m a ³	m a ³
d a ³	d u ¹
n e̠ ³	n e̠ ³
ts a ³	ts a ³
ɣ i ¹	ɣ ɨ ¹
d e̠ ¹	d e̠ ¹
z o ³	z a ²
ts o̠ ²	ts u ²
v ɛ ¹	v u ¹
pʰ i ²	pʰ e ²
h e ¹	h e ¹
ʃ ɿ ²	ʃ ɨ ²
v e̠ ³	v e̠ ³
a ¹	a ¹
dz i ³	dz i ²
d a ²	d a ²
x i ³	x ɨ̠ ³
b a ²	b a ²
k a ²	k a̠ ³
kʰ o ³	kʰ j o ³
v i̠ ³	v e̠ ³
d a ŋ ¹	d a ŋ ¹
m a ²	m a ²
ˀn o ³	ˀn i ¹
g j ɛ ²	kʰ u ²
m j o̠ ³	m j o̠ ³
t u ¹	t u ³
p e ¹	p e ¹
l e̠ ³	l e̠ ³
b y ³	b y ³
d u̠ ²	d u ¹
pʰ u ³	pʰ u ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
t y ²	t y ²
ŋ a ¹	ŋ a ¹
tsʰ ɛ ³	tsʰ ɛ ³
m a ³	m a ³
