n o ʔ̚ ⁵¹	n o k̚ ⁵¹
k l ɨ ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
j r ⁵⁵	j ə ⁰
ɲ̊ ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
kʰ l ə ¹¹	kʰ l o ¹¹
p ə ʔ ⁰	b ə ʔ̚ ⁰
d ə ¹¹	d ə ¹¹
kʰ r ou ⁵⁵	kʰ r ou ⁵⁵
l ɛ m ¹¹	l̥ ɛ m ¹¹
l w i ⁵¹	l̥ w i t̚ ⁵⁵
c i ŋ ¹¹	ɟ i m ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
m ɛ k̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
c i ¹¹	ɟ i ¹¹
tʰ u ¹¹	tʰ u ¹¹
tʰ ɛ k̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
l ə ⁵⁵	l a ʔ̚ ³³
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
n o ŋ ⁵⁵	n o ŋ ⁵⁵
k ɨ ⁵⁵	k ɨ ⁵⁵
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
p l a ¹¹	p l a ¹¹
p l e ⁵⁵	p l e ⁵⁵
j a m ¹¹	j a m ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
m a ⁵⁵	m̥ a ⁵⁵
