b r o ²	p j o ²
sʰ i ⁴	s ɔ ⁴
ŋ i ¹	ŋ ɔ ¹
n o ¹	n j o ŋ ¹
q a ŋ ¹	q a ŋ ¹
m r æ ¹	m j æ ¹
j a ⁴	j a ⁴
n j ɯ n ²	n j i ²
qʰ o ŋ ¹	kʰ u ŋ ¹
b u ²	b ɯ ²
b o ¹	b ã ¹
j æ ³	b j o ²
b o ⁴	p j u ⁴
ɕ j e n ¹	sʰ j e n ¹
d w a ⁴	d w a ⁴
qʰ ɔ ¹	qʰ ɔ ¹
k ɯ ¹	k ɯ ¹
s r j i ⁴	s r i ⁴
b ɛ ⁴	b ɛ ⁴
p j o ¹	p r ɔ ¹
l o ŋ ¹	l o ŋ ¹
q æ ⁵	q æ ⁵
h a ŋ ⁵	h a ŋ ⁵
n ɛ ⁴	n ɛ ¹
tʰ e ⁴	tʰ r e ⁴
ʈ o ³	ɖʐ o ³
ɖʐ i ²	ɖʐ i ²
s r o ⁴	s r o ⁴
b e ¹	p e ¹
sʰ i ²	s i ²
s r u ¹	s r u ¹
m æ ⁴	m æ ⁴
q ɔ ¹	ɣ ɔ ¹
n j o ⁴	b j o ⁴
ʈ o ŋ ¹	d r o ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
g o ³	g o ŋ ³
qʰ ɔ ²	qʰ ɔ ²
d æ n ¹	d r æ n ¹
p ɛ ²	p ɛ ²
sʰ w a ⁴	s w a ⁴
q u ²	ɣ u ŋ ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
ts o ⁴	ts o ⁴
m ɔ ¹	m ɔ ¹
tsʰ i ⁴	tsʰ j i ⁴
