n ou ʔ̚ ⁵¹	n ə ʔ ⁵¹
ˀb i ¹¹	ˀb i ¹¹
n ei ⁵⁵	n ei ⁵⁵
s r ei ¹¹	s r ei ¹¹
k ə ⁰	k ə ⁰
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
cʰ r ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
n w i ⁵⁵	ˀn w e t̚ ⁵¹
m ei ¹¹	m̥ ei ¹¹
ɴ r e ⁵⁵	t r e ⁵⁵
ŋ j e ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
j o ⁵⁵	j o ⁵⁵
kʰ o k̚ ⁵¹	kʰ o ʔ̚ ⁵¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
m ə ŋ ¹¹	m ə ŋ ¹¹
ˀd o ¹¹	ˀd o ¹¹
s r a ⁵⁵	s r a ⁵⁵
k l ɛ ⁵⁵	k l ɛ ⁵⁵
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
j a n ¹¹	j a m ¹¹
s w ɨ ŋ ¹¹	s w ɨ n ¹¹
r w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
kʰ o ¹¹	kʰ o ⁵⁵
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
l e ¹¹	l e ¹¹
m ei ⁵⁵	m̥ ei ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
cʰ r ou ¹¹	cʰ r ou ¹¹
m a ¹¹	m̥ a ¹¹
n e ⁵⁵	n̥ e ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
