m ɯ ³	m ɯ ⁵
qʰ o ⁴	qʰ ɔ ⁴
ts r o ŋ ¹	ts u ŋ ¹
k w i ¹	k w ɛ ¹
b o ¹	b ã ¹
k u ⁵	k o ⁵
d ɯ ²	dʑ ɯ ²
l ɔ ¹	l ɔ ¹
s r ɯ ²	sʰ r ɯ ²
tɕʰ i ¹	tsʰ j i ¹
d r ɯ ⁴	d r ɯ ³
n u ¹	n j o ŋ ¹
s r r i ¹	s r e ŋ ¹
pʰ æ ¹	pʰ æ ¹
m ɛ ⁵	m i ¹
ʈ ɔ ¹	d r ɔ ¹
tɕ j e n ¹	tɕ e n ¹
tɕ r æ ³	dʑ æ n ³
ɣ ɯ ²	ɣ ɯ ²
ŋ w æ ⁵	ŋ w æ ⁵
ʈ o ⁴	ts r o ⁴
t w e n ¹	t w e n ¹
ɖʐ r ø ⁴	ɖʐ o ⁴
pʰ æ n ³	pʰ æ n ³
q æ ⁵	q æ ⁵
ɣ ɯ ³	ɣ ɯ ³
sʰ w e ⁴	sʰ w ɛ ⁴
ɕ i ²	ɕ w i ²
s r r æ ⁴	sʰ r æ ⁴
m ɛ ³	m ɛ ⁵
m ɛ ¹	m ɛ ¹
ʈ w æ ²	ʈ w æ n ²
b r e n ²	n j i ²
p u ²	p u ²
q a ŋ ¹	q a ŋ ¹
ɣ ɯ ²	ɣ ɯ ²
ts i ²	ts i ²
m æ ⁵	m æ ⁵
kʰ o ⁴	kʰ o ⁴
d r ɯ ¹	d r ɯ̃ ¹
p r æ ⁴	p r æ ⁴
ŋ r i n ⁴	n j e ⁴
p j o ²	p j ɛ ²
ʈ o ¹	d r o ŋ ¹
s r o ŋ ¹	sʰ r o ŋ ¹
t ɯ ⁴	t ɯ ⁴
