g j ɛ ³	g ɛ̠ ¹
kʰ o ²	kʰ o ²
g o ¹	g u ¹
a ¹	a ¹
z a ²	z a ²
ˀl a ¹	ˀl a ¹
d a ¹	d a ŋ ¹
kʰ ɨ ³	kʰ ɨ̠ ³
t a ²	t a ²
pʰ i ¹	pʰ e̠ ¹
tʃ i ¹	tʃ ɨ̠ ¹
ʃ i ¹	tʃʰ u ¹
m a ²	m a ²
d u ³	d u ²
b a ²	b a ²
dz e ¹	dz e ¹
kʰ i ¹	k o̠ ³
b a̠ ²	b ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
z a ²	z a ²
b i ³	b i ³
s i̠ ¹	s i ²
ˀl i ³	ˀl u̠ ¹
ʒ o̠ ²	ʒ o̠ ³
x a̠ ³	x a̠ ³
tʃʰ o̠ ³	tʃʰ o̠ ¹
s ɛ ²	s ɛ ²
s i̠ ¹	s i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
b y ¹	b y ¹
d ɛ ²	d ɛ ²
n i̠ ¹	n i̠ ¹
tsʰ y ¹	tsʰ a m ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m o ²	m o ²
m y ¹	m y ¹
z a ²	z a ²
a ¹	a ²
ʃ a ¹	ʃ a ¹
kʰ i ¹	kʰ i ¹
kʰ a ¹	g a ³
n i ²	n i ²
s e̠ ¹	s o̠ ³
a ¹	a ¹
ˀl u ¹	ˀl u ¹
tsʰ a ¹	tsʰ a ¹
ˀv ɛ ¹	ˀv ɛ̠ ¹
n ¹	n i̠ ¹
d i̠ ²	dz ɿ ³
d y ¹	d y ¹
d a ¹	d a ¹
ts a ³	ts a ³
tsʰ ɛ ¹	tsʰ ɛ ¹
g j o ¹	g ɨ ¹
b y ²	b y ²
ɣ i ¹	ɣ i ¹
ˀn a ²	ˀn a ²
dz i ²	dz e ²
l i̠ ²	l a ²
ʒ i̠ ¹	ɣ e̠ ¹
n ɛ ¹	ɲ e ¹
v a ¹	v a ³
ɲ i ¹	n u ²
kʰ o̠ ³	kʰ o̠ ³
b e̠ ³	b e̠ ³
ˀn i̠ ²	ˀɲ y ²
tʃʰ i ³	tʃʰ i̠ ³
a ¹	a ¹
tʰ a ²	tʰ a ²
ˀm e̠ ³	ˀm j e̠ ¹
ˀn i ³	ˀn i ³
kʰ y ¹	kʰ y ¹
s a ³	k o̠ ³
k ɛ ¹	k ɛ ³
pʰ ɨ ¹	pʰ ɨ ¹
n j a ²	ɲ a ²
z a ²	dz i ²
x i ¹	ˀx y ¹
m ɛ ³	m ɛ ²
m i ¹	m i ¹
ʒ o̠ ³	ʒ o̠ ³
d e ¹	d e ¹
tʰ u ¹	tʰ u ¹
m a ³	m a ³
pʰ ɛ ²	pʰ ɛ ²
k a ¹	k a̠ ³
n a ¹	n a ¹
p o̠ ³	p o̠ ¹
p ɨ ²	p j ɨ ²
p e̠ ²	p e ³
n̩ ²	n i ²
dʒ ɛ ²	dʒ ɛ ²
kʰ u ²	kʰ u ²
ˀv ɛ ³	ˀv ɛ ²
p a ŋ ¹	p a ŋ ¹
kʰ i̠ ³	kʰ ɨ̠ ³
t e̠ ³	t a ³
a ²	a ²
b a ŋ ³	b a ŋ ³
a ¹	a ¹
a ¹	a ¹
s j a ŋ ¹	s y ¹
ˀm ɛ ¹	ˀm ɛ ¹
s y ²	s y ²
ts y ³	ts y ³
k ɛ ²	k j e ²
n e̠ ³	ˀn e̠ ³
s e̠ ³	s e̠ ³
ˀn a ³	n a ŋ ³
pʰ i ²	pʰ o ²
kʰ o̠ ³	k j o̠ ³
v e̠ ³	v i̠ ³
m i ¹	ˀm i ¹
g i ¹	x i ³
tsʰ y ¹	tsʰ y ¹
z a ²	z a ²
ʒ e ³	ʒ e ¹
m ²	m̩ ²
n u ¹	n a ¹
tsʰ y ³	tsʰ y̠ ¹
m y ³	m ɨ ²
g i ²	g ɨ ²
ˀn y ¹	ˀn y ¹
m ɛ ²	m ɛ ²
i ²	i ²
