p u ³	p ɨ̠ ¹
k e ³	k u ²
m u ²	m o ²
tʰ a ¹	tʰ a ²
p o ²	p y̠ ¹
p e̠ ²	b y ²
ˀm o ¹	ˀm i ¹
pʰ o ¹	pʰ u ²
m a ²	m a ²
s ɛ ²	s ɛ ²
ˀŋ j a̠ ²	ɲ a ²
z a ²	z a ²
pʰ y̠ ³	pʰ y̠ ³
l a̠ ²	l a ²
n u ²	n u ²
h a ¹	h ɛ̠ ¹
ˀl y ¹	ˀl y ¹
dʒ a ¹	dʒ a ¹
l e̠ ³	l e̠ ³
ˀn ɛ ¹	n ɛ̠
k ɛ ³	k e̠ ³
ˀl a ŋ ¹	l u ³
ˀn i ³	ˀn i ³
tʰ a ²	tʰ o ²
g y o ²	g y ²
pʰ a ²	pʰ a ²
pʰ ɛ ¹	pʰ ɛ ³
l y̠ ³	ˀl y̠ ³
ˀv ɛ ¹	ˀv ɛ̠ ¹
f u ³	f u ³
z i ³	z i ³
a ¹	a ¹
k a ³	k a ¹
p y ¹	p y ¹
s a̠ ³	ʃ a̠ ³
l a ²	l a ²
m o̠ ¹	m o̠ ¹
m ɛ ²	m ɛ ²
h o ¹	h ɛ̠ ¹
s ɛ ²	s ɛ ²
s i ¹	s i̠ ¹
tʃʰ i̠ ²	tʃʰ i ²
a ³	a ¹
d e̠ ¹	d e̠ ¹
l i ³	ˀl i̠ ³
n i̠ ¹	n i̠ ¹
m i ¹	m i ¹
pʰ j e ²	pʰ a ¹
n a ŋ ³	ɲ a ¹
ˀl a ²	ˀl a ²
pʰ i ²	dz ɿ ³
g j ɛ ²	kʰ u ²
d e̠ ¹	d e̠ ¹
d u ²	d u ²
m o ¹	m u ¹
ˀl o̠ ³	l o̠ ³
m ɛ ²	m ɛ ²
v a ²	ɣ a ²
kʰ ɨ ¹	kʰ i ¹
tsʰ e ¹	tsʰ e ¹
a ²	a ¹
ʃ i̠ ³	ʃ i̠ ¹
dz e ¹	dz e ¹
k a ŋ ¹	k a ŋ ¹
x i ¹	ʃ ɛ ¹
a ²	a ²
ɣ i ¹	ɣ i ¹
d u ²	t u ¹
x ɛ ²	x ɛ ²
tʃʰ i̠ ³	tʃʰ i̠ ³
tsʰ ɨ ¹	tʃʰ ɨ ¹
n a ²	ˀn a ²
a ¹	a ¹
ˀn i ²	ŋ i ²
s ɛ̠ ³	s ɛ̠ ³
b o ¹	b o ¹
m a ²	m a ²
ˀl a ²	l a ²
b o ²	b o ²
kʰ y ¹	kʰ y ¹
b y ¹	b y ¹
ˀm a ²	ˀm a ²
tsʰ y ¹	tsʰ y ¹
dz a ŋ ¹	dz a ŋ ¹
ɣ a ŋ ²	ɣ a ŋ ²
d i ²	d e ³
ˀl a ŋ ³	ˀl a ŋ ³
ˀl u ²	l i ²
x a ¹	x a ¹
x a̠ ³	x a̠ ³
p ɨ ²	p ɨ ²
pʰ e̠ ³	pʰ e̠ ³
x i̠ ³	x ɨ̠ ³
l e̠ ³	l e̠ ³
n i ²	n i ²
pʰ a ŋ ¹	pʰ j a ¹
m j o̠ ³	m j o̠ ³
h e̠ ³	h e̠ ³
tʃʰ e ¹	d e ¹
g e̠ ³	g j e̠ ¹
h o ¹	h ɛ̠ ¹
b i ³	b o ³
p u ¹	p u ¹
d o ¹	tʃʰ i̠ ³
k o ²	k j o ²
l a ²	l a ²
m u ¹	ˀm u ¹
ts e̠ ²	ts e ²
dz a ²	dʒ ɛ ²
d ɛ ¹	d u ³
m i ¹	m i ¹
n i ²	n i ²
p ɨ ²	p j ɨ ²
kʰ o ²	kʰ o ²
pʰ a ²	pʰ a ²
b e̠ ¹	b e ³
a ¹	a ¹
kʰ i ¹	kʰ i ¹
m o ²	m o ²
m a ³	m a ³
b o ²	b o ²
pʰ y ²	pʰ j y ²
ʃ y ¹	s y ¹
j a ³	j a ŋ ²
