ts o ŋ ²	ts u ŋ ²
m ɯ ³	m ɯ ⁵
x ɯ ²	x ɯ ³³
b ɔ ³	b ɔ ³
ɕ r i ²	ɕ w i ²
q æ ⁴	q æ ⁴
q ɛ ¹	q ɛ ¹
s r i ²	s r ɯ ²
b æ ¹	b æ ¹
g u ¹	g u ¹
b ø ²	b o ŋ ²
d ɔ ⁵	d ɔ ⁵
s r o ²	s r o ²
ɕ i ²	s j i ²
ɣ e ¹	ɣ æ ¹
n w e n ¹	ʔ w e n ¹
m e ¹	m e ¹
j o ⁴	j ɔ ⁴
tsʰ e ¹	tsʰ j e n ¹
q w ɛ ⁵	q w ɛ ³
d ɯ ¹	d j ɯ ¹
ɖʐ i ⁴	ɖʐ i ⁴
n j e n ¹	n j e n ¹
p j æ ⁴	p r æ ⁴
ts i ²	ts r i ²
pʰ ɯ ¹	pʰ ɯ ¹
x w i ²	x w i ²
w o ⁴	b j o ⁴
l ɔ ¹	l ɔ ¹
tsʰ u ⁵	tsʰ u ³
ʈ o ŋ ²	ʈ s u ŋ ²
s i ¹	dʑ e n ¹
s w a ŋ ¹	s w a ŋ ²¹
ŋ w a ŋ ⁴	ŋ w a ⁴
pʰ e ⁴	pʰ a ¹
p j o ¹	pʰ j u ŋ ¹
b ɯ ¹	b r i ¹
ŋ o ŋ ¹	ʁ o ŋ ¹
p u ²	p ɯ ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tʰ u r ¹	tʰ r u ¹
qʰ w a ŋ ²	qʰ w a ŋ ²
? ɯ ⁴	ʁ ɯ ⁴
χ æ n ¹	χ æ n ¹
tɕ i ⁴	ts j i ⁴
m ɯ ⁴	m ɯ ⁴
