s r i ²	s r ɯ ²
q ɯ ¹	q ɯ ¹
ts o ⁴	ts o ⁴
ɕ i ²	s j i ²
ɕ i ²	s j i ²
b æ ¹	b æ ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
q æ ⁵	q æ ⁵
m ɯ ³	m ɯ ⁵
g ɔ ¹	g ɔ ¹
tʰ o ⁴	tʰ r o ⁴
tʰ a ⁴	tʰ a ⁴
d ɯ ³	d ɯ ⁵
ɕ o ŋ ¹	ɕ o ŋ ¹
k u ²	k u ²
q ŋ ɯ ²	ɣ ɯ̃ ²
m r æ ¹	m j æ ¹
j o ⁴	j ɔ ⁴
s a ⁴	s a ⁴
pʰ r a ⁴	pʰ r a ⁴
k ɯ ¹	k ɯ ¹
w ? ¹	w u ⁴
k o ŋ ¹	k o ŋ ¹
x e n ¹	x e n ¹
ɖʐ o ŋ ¹	z r o ŋ ¹
b ɯ ¹	b ɯ ¹
n j o ŋ ¹	n j o ¹
m æ ²	m æ ²
k ɯ ¹	k ɯ ¹
sʰ ɛ ⁴	sʰ ɛ ⁴
k w a ⁴	k w a ⁴
m i ¹	m j i ¹
m æ ¹	m æ ¹
ɖʐ i ⁴	ɖʐ i ⁴
p i ¹	p r i ¹
m a ⁴	m a ⁴
q a ŋ ¹	q a ŋ ¹
qʰ w a ⁴	qʰ w a ⁴
q æ ¹	q æ n ¹
b æ ⁴	b æ ⁴
ɕ j e n ¹	sʰ j e n ¹
ɣ ɯ ²	ɣ ɯ ²
q u ŋ ²	ɣ u ŋ ²
ŋ w a ⁴	ŋ w a ⁴
d e ⁴	d r ɛ ⁴
ts j i ³	d i ³
