ˀl o̠ ³	ˀl o̠ ¹
t o̠ ³	t o̠ ³
h e ¹	h e ¹
h a̠ ³	ɣ a̠ ³
x a̠ ³	x a̠ ³
a ²	a ²
b i ³	b i ³
h e ³	x e̠ ³
tsʰ a ¹	tsʰ a ¹
n a ŋ ¹	n a ŋ ³
h e ¹	h e ¹
v e̠ ³	v e̠ ³
dz a ŋ ¹	dz a ŋ ¹
b y̠ ³	b y̠ ³
b e̠ ³	b e̠ ³
ʃ o̠ ¹	ʃ o̠ ¹
x a̠ ³	x a̠ ³
ɣ ɛ ¹	ɣ ɛ ¹
n a ²	n a ²
s a ²	s a ²
tʃ i ³	ts i̠ ³
h y̠ ²	h y̠ ³
b ɛ ¹	b ɛ ¹
x a ³	ʃ a ²
l a ²	l a ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
m a ŋ ²	m a ŋ ²
ʒ i ²	z i̠ ³
v o ³	pʰ e ²
p a̠ ³	p a̠ ³
tʰ u ³	tʰ u ³
ɣ a ²	ɣ a ³
ˀm e̠ ¹	ˀm j e̠ ¹
d u ²	t u ¹
m o ²	m o ²
ɣ i ³	ɣ i ¹
t i̠ ³³	t i̠ ¹
ɲ e̠ ³	n i̠ ³
kʰ a ³	g a ³
t e̠ ¹	t e̠ ¹
s a ¹	k a ¹
z a ¹	s u ¹
pʰ ɨ ²	pʰ ɨ ²
d i ¹	d i ¹
kʰ i̠ ¹	kʰ e̠ ¹
ɣ i ¹	ɣ ɨ ¹
ˀn a ²	ˀn a ²
s ɛ ²	s e ²
d e ¹	d e ¹
m ɨ ³	ˀm u ²
ʃ i̠ ¹	ʃ i ¹
l a ²	l a ²
m j a ²	m j y ²
v u ²	v y ²
g i̠ ²	g u ²
ˀm e̠ ³	ˀm j e̠ ¹
s e ¹	s e ¹
a ²	a ²
ʃ ɛ ¹	ɣ u ²
tsʰ u ¹	tsʰ u ¹
ts e ¹	ts e ¹
a ¹	a ¹
z a ²	z a ²
ts i ¹	ts i ¹
s i ¹	s i ¹
s e ²	s e ²
dz i ³	dz i̠ ¹
ʒ e̠ ³	ʒ e̠ ³
p a̠ ³	p a̠ ³
a ¹	a ¹
m i ¹	m e ¹
p e̠ ²	p e ³
ŋ a ¹	ŋ a ¹
kʰ ɨ ¹	kʰ i ¹
kʰ a ²	kʰ a ŋ ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ˀŋ j a̠ ²	ɲ a ²
tʃʰ y ¹	tsʰ y ¹
m a ³	m a ³³
k a ³	k j i ³
g e̠ ³	g j e̠ ¹
m e ¹	m i ¹
ŋ a ŋ ¹	ɲ a ¹
n a ²	ˀn a ²
s u ¹	ʒ a ¹
ɣ ɨ ³	ɣ y̠ ³
ŋ a ²	ŋ a ²
g j o ¹	g ɨ ¹
n y ²	n e̠ ³
s i ¹	s e ¹
dz i ¹	tʃʰ e ¹
g a ²	g a ²
dʒ ɛ ¹	dʒ ɛ ¹
tʰ y ³	tʰ y ²
g j a ¹	g j a ¹
s e̠ ¹	s a ¹
b a ³	b a ³
tsʰ e̠ ¹	tʃʰ e̠ ¹
z a ²	z a ²
z ɛ ¹	z ɛ ¹
tsʰ y̠ ³	tsʰ y̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
d e̠ ³	d e̠ ¹
l e̠ ³	l e̠ ¹
a ¹	a ¹
a ¹	a ¹
s ɛ ²	s ɛ ²
b a ³	b a ³
tsʰ i ²	tsʰ i ²
kʰ i ¹	kʰ i ¹
kʰ o ²	kʰ a ²
t u ¹	t u ¹
v e ²	v i ²
b i ²	b j o ²
a ¹	a ¹
ˀl u̠ ²	ˀl u ¹
m e ²	m a ³
b o ²	pʰ u ¹
a ¹	a ¹
tsʰ e ¹	tsʰ e ¹
tsʰ e̠ ²	d i ²
kʰ y ¹	kʰ y ¹
ʃ ɛ ¹	ʃ ɛ ¹
m i ¹	ˀm i ¹
