ts i ⁴	ɖʐ i ⁴
d r ø ¹	d r ɔ ¹
? a ³	h ɔ ³
m ɯ ²	m ɯ ²
n j e n ¹	n j e n ¹
m e ¹	m e ¹
n ɛ ⁴	n ɛ ¹
s e n ⁵	s e n ⁵
j a ⁴	j a ⁴
p u ²	p ɯ ²
s r r ɯ ²	sʰ r ɯ ²
s o ³	sʰ ɔ ³
m r æ ¹	m j æ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
p r a ŋ ⁵	b a ŋ ⁴
tsʰ w a ŋ ²	tsʰ w a ŋ ²
tʰ a ⁴	tʰ a ⁴
ts j e n ²	ɖʐ e n ²
b ɯ ¹	b ɯ ¹
tɕ i ¹	tɕ i ¹
m ɛ ⁵	m ɛ ⁵
ʈ r o ŋ ¹	ʈ o ŋ ¹
t a ⁴	d a ⁴
d o ŋ ¹	d o ŋ ¹
p j a ⁴	p r a ⁴
tsʰ w e n ¹	tsʰ w e n ¹
tʰ r e ²	tʰ j e ⁴
g ɯ ¹	g ɯ ¹
? o ¹	h ɔ ¹
χ w a ⁴	h w a ⁴
n i ²	n j i ⁴
s r i ¹	s r e ŋ ¹
d o ⁴	d r o ⁴
b æ ⁴	b æ ⁴
d r o ⁴	ɖʐ o ⁴
d r ɯ ³	d ɯ ⁵
j o ⁴	j ɔ ⁴
qʰ w æ ³	qʰ w æ ³
t r ɯ ⁵	tʲ ɯ ⁵
pʰ e ⁴	pʰ a ¹
ɣ o ¹	ɣ ɔ ¹
qʰ w æ ¹	qʰ w æ ¹
tʰ æ ⁴	tʰ r æ ⁴
tsʰ i ³	tsʰ e ³
m ø ²	m o ²
qʰ r u ²	qʰ u ²
