k o̠ ³	k o̠ ¹
p o ³	p y̠ ¹
m u ¹	ˀm u ¹
a ¹	a ¹
n ɛ̠ ³	n ɛ ³
p a̠ ³	p a̠ ³
ɣ i ¹	ɣ i ¹
a ²	a ²
ts i̠ ³	ts i̠ ³
ˀv y ¹	v y ²
m ɛ ²	m ɛ ²
ʒ o̠ ²	ʒ o̠ ³
m a ²	m a ²
h o ²	h ɛ ²
b ɨ ²	b ɨ ¹
tʃ u ²	tʃ u ²
g ɛ̠ ²	g ɛ ²
n i ²	n i ²
ɛ ²	ɛ ²
ʃ i ³	ʃ i̠ ¹
dz i̠ ¹	dz e ¹
ʃ a ¹	ʃ a ¹
tʰ a ²	tʰ a ²
ʃ a ¹	ʃ a ¹
d y ²	d y ²
g i ¹	x i ³
s e̠ ³	s e̠ ³
d i ²	d i ²
pʰ u ²	pʰ u ¹
g a ³	g j a ³
m u ¹	m o ²
t e̠ ¹	t e̠ ¹
dʒ ɛ ¹	dʒ ɛ ¹
ˀl o̠ ¹	ˀl o̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ts a ¹	ts a ¹
pʰ ɛ ³	f ɛ ³
a ¹	a ¹
ˀv a ¹	ˀv a ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s y ¹	s y ¹
tsʰ u ³	tsʰ e̠ ¹
z a ³	z ɛ ¹
k e̠ ²	k j ɛ ²
b u ³	b e ³
pʰ u ³	f u ³
s ɛ ²	s ɛ ²
dz i̠ ¹	dz e ¹
d ɛ ²	d ɛ ²
d a ²	d a ²
d e̠ ¹	d e̠ ¹
d i ¹	d i ¹
a ³	a ¹
s ɛ ³	h a ¹
n u ²	n u ²
tsʰ y ³	tsʰ y̠ ¹
p u ³	p u ¹
ʃ ɛ ¹	ʃ ɛ ¹
ŋ a ²	ŋ a ²
j a ŋ ³	j a ŋ ²
kʰ ɛ ¹	kʰ a̠ ¹
kʰ i ²	kʰ a ²
p a̠ ³	p a̠ ³
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɲ i ¹	ˀn i ³
z a̠ ²	z a ²
dz i ²	dz e ²
a ¹	a ¹
l a ¹	l a ¹
kʰ i ¹	kʰ i ¹
a ¹	a ¹
g ɛ ²	kʰ u ²
m j a ŋ ¹	m j a ŋ ¹
l u ³	l u ³
s a̠ ²	ʃ a̠ ³
d i ²	d i ²
m a ³	m a ³
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
ɣ i ³	ɣ i̠ ³
g a ¹	g j a ¹
k ɨ ²	k j o ²
kʰ i ¹	kʰ i ¹
m a ŋ ²	m a ŋ ²
s a ²	s a ²
l a ²	l a ²
ˀv e̠ ¹	ˀv e̠ ¹
tʰ u ¹	tʰ u ¹
p ɨ ²	p j ɨ ²
m ɨ ³	m ɨ̠ ³
z a ²	z a ²
n o̠ ³	n u̠ ¹
m i ¹	ˀm i ¹
b a ²	b o ³
m a ¹	m a ¹
z a ²	z a ²
ɣ a ²	ɣ a ŋ ²
pʰ ɛ ¹	pʰ ɛ ¹
tsʰ i ³	tsʰ i̠ ¹
m e ³	ˀm u ²
m a ²	m ɛ ²
t o̠ ³	t o̠ ³
m ɛ̠ ³	ˀm ɛ ¹
n e ³	n e ³
dʒ a ŋ ¹	dʒ a ŋ ¹
b a ³	b a ³
z e̠ ³	z e̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
a ²	a ²
s ɛ ²	s ɛ ²
l o̠ ³	l o̠ ³
dz i ³	dz i ³
b o ²	b o ²
ˀn i ¹	ˀn i ¹
h o̠ ³	s e ³
ts u ³	tʃ ɛ̠ ³
kʰ a ²	kʰ a ²
s i̠ ¹	s i̠ ¹
z a ²	z a ²
dz a ²	dz a ²
n e ¹	n e ¹
kʰ o̠ ³	kʰ o̠ ¹
h a̠ ³	h ɛ̠ ¹
ts y ³	ts y ³
v o ¹	v u ¹
