b ə ʔ ¹¹	b ə ʔ̚ ⁰
k l o ŋ ¹¹	k l ə ŋ ¹¹
k o i ⁵¹	k o t ⁵⁵
s a ⁵⁵	s ə ⁰
r ou ¹¹	r ou ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
l a ⁵⁵	l a ⁵⁵
j a m ¹¹	j a m ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
kʰ ei ¹¹	kʰ ei ¹¹
g a ʔ ⁰	k ə ʔ̚ ⁰
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
k l a ⁵⁵	k l ɛ ⁵⁵
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
n e ⁵⁵	n̥ e ⁵⁵
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
l u ⁵⁵	l u ⁵⁵
p l a ¹¹	p l a ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
tʰ ə ¹¹	tʰ ə ¹¹
pʰ u ⁵⁵	pʰ r u ɴ ⁵⁵
n a ¹¹	n̥ a ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
kʰ w i ¹¹	kʰ w i ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
n o ŋ ⁵⁵	n o ŋ ⁵⁵
k ə ⁰	k ə ⁰
m w i ¹¹	ŋ w i ¹¹
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
m e ¹¹	m e ¹¹
l ou ¹¹	l̥ ou ¹¹
ɟ w u ⁵⁵	c u ⁵⁵
p a ɴ ⁵⁵	ɲ̊ au ⁵⁵
m ei ¹¹	m̥ ei ¹¹
d e ɴ ⁵⁵	d e ɴ ⁵⁵
