ts o̠ ²	ts a ŋ ³
ˀn i ¹	ˀn i ¹
ʃ a ¹	ʃ a ³
s ɛ ²	s ɛ ²
k j a ³	k a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
tʃʰ e̠ ¹	d u ¹
s ɛ ¹	s a ¹
z i̠ ³	z i ³
tʃʰ ɨ ²	tʃʰ u ²
g j y j ²	g y ²
kʰ ɨ ³	kʰ ɨ ³
l ɛ̠ ³	l e̠ ¹
t a ŋ ¹	t a ŋ ¹
s y ¹	s y ¹
h a ¹	h a ¹
b u ²	b e ²
h e ¹	h e ¹
n i ²	n u ²
ˀl o̠ ³	l o̠ ¹
p a ¹	v u ¹
g a ³	g a̠ ³
a ¹	a ¹
ˀl a ¹	l a ŋ ¹
m a ³	m o ²
v e̠ ³	v e̠ ³
kʰ e̠ ¹	kʰ e̠ ¹
ˀm a ŋ ²	m o ²
a ¹	a ¹
m i ¹	m i ¹
m a ²	m a ³
ˀn a̠ ³	ˀn u̠ ³
h e ¹	h e ¹
l u ¹	l y ¹
t a ²	t a ⁵⁵
ʃ y ¹	ʃ a ¹
n ɛ̠ ³	n ɛ ³
t ɛ ¹	t j ɛ ³³
s ɛ ²	s ɛ ²
l a ²	l a ²
b i ³	b j e̠ ³
ts i ²	ts e ²
ɣ a ŋ ²	ɣ a ŋ ¹
z e ³	z i̠ ³
h e ¹	h e ¹
a ¹	a ¹
m o ³	ˀm u ²
ɣ a ŋ ¹	h e ¹
ˀv u ²	v y ²
g u ³	g u ³
ˀm ɛ ²	ˀm ɛ ²
g o̠ ¹	g o̠ ¹
n o̠ ³	n u̠ ¹
m o ³	m ɨ ²
tsʰ i ³	tsʰ i̠ ¹
z e̠ ³	z e̠ ³
a ¹	a ¹
pʰ i ²	pʰ e ²
x i ³	x i ¹
t a ³	t a ³
ˀl i ¹	ˀl i ²
ɣ ɨ ³	ɣ i ¹
s a̠ ³	ʃ a̠ ³
a ¹	a ¹
pʰ i ¹	pʰ e ¹
d u ²	d u ²
p ɨ ²	p j ɨ ²
a ¹	a ¹
pʰ o ²	pʰ i ²
ˀl i ¹	ˀl i ¹
n e̠ ³	n e ²
kʰ ɛ ²	kʰ j ɛ ²
s e ²	s e ²
s i ¹	s i̠ ¹
kʰ a ²	kʰ a ²
tʃ e ¹	ts e ¹
a ¹	a ¹
ʒ i ¹	tʃʰ u ¹
l e̠ ²	l e̠ ³
ts u ³	ts i ³
ɣ i ¹	ɣ i ¹
v e̠ ³	v e̠ ³
ʃ a̠ ²	ʃ a ²
tʰ u ¹	tʰ u ¹
n a ²	n a ²
ʃ ɛ ¹	ʃ ɛ ¹
ʃ y ¹	s y ¹
s a ²	s a ²
a ²	a ¹
a ²	a ²
t ɛ̠ ²	t e ²
m a ³	m a ³
t y ²	t y ²
t u ³	t u ¹
ʃ i̠ ¹	ʃ i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
d a ²	dʒ ɛ ²
x i ¹	x e ¹
g i ²	g ɨ ²
dz i ³	dz i ³
l a ²	l a ²
kʰ i ²	kʰ ɨ ²
s e̠ ²	s ɛ ²
ɣ ɨ ¹	ɣ i ¹
d a ¹	d a ¹
a ³	a ¹
m a ³	m a ³
b y ³	b y ³
pʰ i ²	pʰ o ²
dʒ ɛ ²	dʒ ɛ ²
p a̠ ¹	p a̠ ³
m ²	m̩ ²
ɣ ɨ ¹	ɣ ɨ ¹
m ɛ ³	m ɛ ²
b a ²	b a ²
h ɛ ¹	h ɛ̠ ¹
tʃ i̠ ¹	tʃ u ¹
b ɛ ²	b o ²
b j a ²	b j a ²
ŋ a ¹	ˀŋ y ¹
ɲ i̠ ³	n i̠ ³
pʰ i ²	p i ²
kʰ a ²	kʰ a ²
dz a ¹	dz a ¹
b a ³	b a ŋ ³
