s i	s r ɯ ²
tʰ u ³	tʰ r u ³
t w e n ²	t w e n ²
tsʰ j æ ¹	tsʰ j æ n ¹
k ɯ	k ɯ ¹
ts w ɛ ⁴	ts w ɛ ⁴
n i ²	n j i ⁴
dʑ i ³	d i ³
pʰ æ n ³	pʰ æ n ³
s o ŋ ³	s u ŋ ³
n o ŋ ⁵	n o ŋ ⁵
b j a ⁴	p r a ⁴
dʑ æ ³	dʑ æ n ³
χ ɯ ⁴	χ ɯ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
n ɔ ³	n ɔ ³
s r r u ŋ ⁵	s r o ⁴
j ɯ ¹	j ɯ ¹
p r e n ¹	p r e n ¹
p r ɛ ²	p ɛ ²
x w i ²	x w i ²
ŋ r o ŋ ⁴	ŋ j o ŋ ⁴
ŋ o ²	ŋ u ²
l ɔ ¹	l ɔ ¹
b j æ ⁴	p r æ ⁴
ts r o ²	ts r ɔ ²
qʰ j u ¹	qʰ u ²
ŋ w a ŋ ⁴	ŋ w a ⁴
tɕ ɯ ²	tɕ ɯ ²
k o ⁵	k o ⁵
m æ ¹	m æ ¹
ʁ ɯ̃ ⁴	ʁ ɯ ⁴
m ɛ ¹	m ɛ ¹
sʰ w a ³	sʰ w a ŋ ³
tsʰ u ¹	tsʰ u ŋ ¹
n ɛ ¹	n ɛ ¹
m ɯ ²	m ɯ ²
q o ŋ ⁴	q ɔ ⁴
dʑ i ²	dʑ i ²
m ɛ ¹	m ɛ ¹
s r i ⁴	s r i ⁴
tsʰ ɯ ³	tsʰ ɯ ³
l ɔ ¹	l a ¹
p ɯ ²	p u ²
b j o ⁴	b j o ⁴
k æ ⁴	k æ ⁴
p o	p j o ²
