l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
ɟ ə ŋ ⁵⁵	c ə ŋ ⁵⁵
ˀd w ɔ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
s ə ¹¹	s w ɨ ɴ ¹¹
r w i ¹¹	r w i ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
b o ¹¹	b o ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
d ə ⁵¹	d ə ŋ ⁵⁵
m i ɴ ⁵⁵	ˀm i n ⁵⁵
l i r ¹¹	l̥ i ¹¹
j ai ⁵⁵	j ai ⁵⁵
ɴ j a ⁵⁵	r j a ⁵⁵
j o ⁵⁵	j o ⁵⁵
s a ɴ ⁵⁵	s a ɴ ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
n e ¹¹	n e ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
j a ¹¹	j ə ⁰
s r ɔ ¹¹	s r ɔ ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
cʰ ɴ a ɴ ¹¹	cʰ j a ɴ ¹¹
k i ⁵⁵	k i ⁵⁵
ˀb u ⁵⁵	ˀb ə ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
g ə ⁵¹	g ə ⁰
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
r w i ʔ̚ ⁵¹	r̥ w i ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
t ə ʔ̚ ⁵¹	t ə ʔ̚ ⁰
b l ei ⁵⁵	b l ei ⁵⁵
ɟ ɔ ¹¹	c ɔ ¹¹
