ˀl e̠ ¹	l i ¹
a ¹	a ¹
ˀv u ¹	v y ²
n̩ ²	n u ²
z a ³	z ɛ ¹
t i ²	t i ²
tʃ a ¹	tʃ a ¹
ʃ y ²	s y ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
a ²	a ²
kʰ a ²	kʰ a ŋ ²
t u ¹	t u ¹
a ³	a ¹
h y̠ ²	h y̠ ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
x ɛ ²	x ɛ ²
x i ¹	x e ¹
m a ²	m a ²
ts e ¹	ts e ¹
n a ³	n a ²
ts e ²	dʒ e ¹
g a ¹	g a ŋ ³
pʰ ɛ ²	pʰ ɛ ²
f u ¹	pʰ u ²
ts e ¹	ts e ¹
ˀl a ¹	ˀl a ¹
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
t e̠ ¹	t e̠ ¹
tsʰ ɛ ¹	tʃʰ ɛ ¹
d a ¹	d a ¹
g e̠ ¹	g j e̠ ¹
l ɛ ¹	l ɛ ¹
tʰ u ¹	tʰ u ¹
tsʰ i̠ ³	tʃʰ i̠ ³
m i ³	m i ¹
tsʰ ɨ̠ ¹	tsʰ y ¹
b o ¹	b o ³
ˀm e̠ ¹	ˀm j e̠ ¹
d i ¹	d i ¹
dz e ²	dz e ²
h a ³	h e̠ ³
ɣ i ¹	ɣ i ¹
pʰ j ɛ ²	pʰ a ¹
tsʰ a ²	tsʰ a ²
tʰ ɛ ³	tʰ ɛ ³
v e̠ ³	v e̠ ³
x a̠ ³	x a̠ ³
kʰ i̠ ²	kʰ ɨ̠ ³
dz e ¹	dz e ¹
s i̠ ²	s i ²
h e̠ ³	h e̠ ³
t e ²	t i̠ ³
t u ¹	t u ¹
a ¹	a ¹
ˀl a ²	l a ²
z e̠ ³	z e̠ ³
m y ³	m ɨ ²
i ²	i ²
s ɛ ²	s ɛ ²
ˀl i ¹	ˀl u̠ ¹
kʰ u ³	kʰ a ŋ ²
k e̠ ²	k j e ²
s a ²	s a ²
pʰ e ²	pʰ e ²
ˀl a ŋ ³	ˀl a ŋ ³
ˀn a ³	ˀn i ³
m a ²	m a ²
n y ¹	n y ¹
ʒ o̠ ³	ʒ o̠ ³
t a ³	t a ³
m o̠ ²	ˀm u ¹
pʰ u ¹	pʰ u ¹
tsʰ y ¹	tsʰ y ¹
l e̠ ³	l e̠ ³
g a ŋ ³	g a̠ ³
n u ²	n u ²
p ɨ ²	p j ɨ ²
dʒ i ²	dz a ŋ ²
ˀn i ³	ˀn i ³
v a ²	v a ³
pʰ a ²	pʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
t ɛ ²	t j ɛ ³³
ʃ ɛ ¹	ʃ ɛ ¹
ʃ a ¹	ʃ a ¹
ʒ y ¹	ʒ u ¹
v y ²	v i ²
tʰ y ²	tʰ y ²
d o̠ ¹	d o̠ ¹
dz a ²	dz a ²
tʰ a ²	tʰ a ²
ˀl u ³	l u ³
ts o̠ ³	ʒ i̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
n ¹	n i̠ ¹
ʒ o̠ ³	ʒ o̠ ³
p a̠ ³	p a̠ ³
kʰ ɨ ²	kʰ ɨ ²
l i ³	ˀl i̠ ³
ʃ a ²	ʃ a ¹
pʰ i ¹	pʰ e̠ ¹
p ɨ̠ ²	p e̠ ³
tsʰ i̠ ²	tʃʰ i ²
a ²	a ²
a ¹	a ¹
i ²	i ²
tʰ u ¹	tʰ e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ɣ i ²	ɣ ɨ ²
s i ³	s i̠ ¹
kʰ o ¹	kʰ o ¹
l a ¹	l a ¹
pʰ ɛ ³	pʰ ɛ ³
l y ²	l y ²
n j a̠ ³	ɲ a̠ ³
b e ¹	b e ³
ˀn e̠ ¹	ˀn e̠ ¹
p u ¹	p u ¹
tʰ a ²	tʰ a ²
m ²	m u ²
h ɛ ²	h ɛ ²
p a̠ ³	p a̠ ³
n j ɛ ¹	ɲ e ¹
p ɛ ³	p ɛ ¹
