k o̠ ¹	k a ŋ ¹
ts e ³	ts i̠ ³
g ɛ ²	g ɛ ²
t i ¹	t a ³
pʰ a ²	pʰ a ²
p y ³	p y ³
tʃ i̠ ¹	tʃ i̠ ¹
b y ²	b y ²
n i̠ ³	ˀn e̠ ³
tsʰ y ¹	tsʰ y ¹
ˀm i ³	ˀm i ³
m j a ŋ ¹	m j a ŋ ¹
kʰ j ɿ ²	tsʰ ɿ ²
ˀm o ¹	ˀm j e̠ ¹
kʰ u ³	kʰ y̠ ¹
a ¹	a ²
s e ¹	s e ¹
ˀn y ²	ˀn y ¹
m u ²	m j u ²
ˀn i ³	ˀn i ³
b o ²	b o ²
ɲ ɛ ¹	ɲ e ¹
p o ²	p y̠ ¹
kʰ u ¹	kʰ u ¹
kʰ o̠ ¹	kʰ j y ¹
t i ¹	t i ¹
b a ³	b a ³
tʰ y ²	tʰ y ²
pʰ e̠ ³	pʰ e̠ ³
ɣ ɛ ³	ɣ ɛ ¹
t o̠ ³	d o̠ ³
ɣ a ŋ ²	ɣ a ŋ ²
t ɛ̠ ²	t a̠ ³
j a ²	j a ŋ ²
k i ¹	k i ¹
dz e ¹	dz e ¹
ʃ i̠ ³	ʃ i̠ ¹
k a ¹	k a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
ˀŋ j a ¹	ŋ j a̠ ¹
l u ¹	l u ¹
tʃʰ i ¹	tʃʰ e ¹
kʰ a ¹	kʰ a ¹
ŋ v a ³	v a ³
pʰ u ³	pʰ u ¹
tʰ a ²	tʰ a ²
ˀn i ¹	ˀɲ y ²
pʰ ɨ ²	pʰ ɨ ²
ɣ a ¹	g a ¹
k a ³	k ɛ ³
m j a ²	m j y ²
n a ¹	n a ¹
dʒ a ¹	dʒ a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
tʃ i ¹	tʰ a ¹
k j ɛ ²	k j e ²
n a ŋ ¹	n a ¹
z e̠ ³	z e̠ ³
d e ¹	d e ¹
s a ³	s a ¹
pʰ ɛ ²	pʰ ɛ ²
m u ³	m o ²
dz a ²	dz a ²
n a ŋ ¹	n a ¹
tʃʰ i̠ ²	tʃʰ i ²
a ²	a ²
m a ³	m a ³³
a ¹	a ¹
a ²	a ²
s ɛ ²	s ɛ ²
a ³	a ²
p a̠ ³	p a̠ ³
tsʰ i ¹	tsʰ i̠ ¹
n e̠ ³	n e̠ ³
m e ²	m a ³
tʃʰ a ³	tʃʰ e̠ ³
v a ³	v a ³
m o ²	m ɨ ²
m a ŋ ²	m a ŋ ²
ʃ a ¹	ʃ a ¹
ɣ ɨ ³	ɣ y̠ ³
x a ¹	x a ¹
b i ¹	b i ¹
b o ²	b a ²
ˀm ɛ ¹	ˀm ɛ ¹
ˀl e̠ ²	l e̠ ³
dz u ³	dz ɿ ³
n ɛ̠ ³	n ɛ ³
v i̠ ³	v i̠ ³
dz e ²	dz i ²
kʰ i ¹	kʰ i ¹
kʰ u ²	kʰ u ²
tʰ a ³	tʰ e̠ ³
x a̠ ³	x a̠ ³
ʃ a ¹	ʃ a ¹
ˀn e̠ ¹	ˀn i ¹
kʰ a ²	kʰ a ŋ ²
ˀn e̠ ¹	ˀn e̠ ¹
pʰ e ²	pʰ i ²
kʰ y ¹	kʰ y ¹
v ɛ̠ ³	v ɛ̠ ³
a ŋ ²	a ¹
m u ³	m a ŋ ³
m u ²	ˀm u ¹
x i ¹	x e ¹
l a ²	l a ²
z a ²	s u ¹
ˀn i ³	n i ¹
a ¹	a ¹
m a ³	m a ³
a ¹	a ¹
g j a ³	g a ³
m a ³	m a ³
a ³	a ¹
a ²	a ²
p e̠ ³	p e̠ ³
t u̠ ¹	t i̠ ¹
b i ³	b ɨ̠ ¹
n̩ ²	n i ²
a ¹	a ¹
g j u ²	g j ɛ ²
d e̠ ¹	d e̠ ¹
g o̠ ¹	g o̠ ¹
dz i ³	dz i̠ ¹
