s r i ²	s r ɯ ²
q ɯ ¹	q ɯ ¹
ts o ⁴	ts o ⁴
ɕ i ²	s j i ²
ɕ i ²	s j i ²
b æ ¹	b æ ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
q æ ⁵	q æ ⁵
m ɯ ³	m ɯ ⁵
g ɔ ¹	g ɔ ¹
tʰ o ⁴	tʰ r o ⁴
tʰ r a ⁴	tʰ a ⁴
d ɯ ³	d ɯ ⁵
ɕ o ŋ ¹	ɕ o ŋ ¹
k u ²	k u ²
q j u ²	ɣ ɯ̃ ²
m r æ n ¹	m j æ ¹
j o ⁴	j ɔ ⁴
s a ⁴	s a ⁴
pʰ j a ⁴	pʰ r a ⁴
k ɯ ¹	k ɯ ¹
d i ¹	w u ⁴
k o ŋ ¹	k o ŋ ¹
x e n ¹	x e n ¹
ɖʐ j o ŋ ¹	z r o ŋ ¹
b ɯ ¹	b ɯ ¹
n j o ŋ ¹	n j o ¹
m æ ²	m æ ²
k ɯ ¹	k ɯ ¹
sʰ ɛ ⁴	sʰ ɛ ⁴
k w a ⁴	k w a ⁴
m i ¹	m j i ¹
m æ ¹	m æ ¹
ɖʐ i ⁴	ɖʐ i ⁴
b i ¹	p r i ¹
m a ⁴	m a ⁴
q a ŋ ¹	q a ŋ ¹
qʰ w a ⁴	qʰ w a ⁴
q æ ¹	q æ n ¹
b æ ⁴	b æ ⁴
ɕ j e n ¹	sʰ j e n ¹
ɣ ɯ ²	ɣ ɯ ²
q u ŋ ²	ɣ u ŋ ²
ŋ w a ⁴	ŋ w a ⁴
ʈ r e ⁴	d r ɛ ⁴
tɕ i ³	d i ³
