n o ʔ̚ ⁵¹	n o k̚ ⁵¹
kʰ e ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
tʰ ə ¹¹	tʰ ə ¹¹
k l ə ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
kʰ l e ⁵¹	kʰ l i ⁵⁵
l w i ¹¹	l w i ¹¹
s w ɨ ɴ ¹¹	s w ɨ n ¹¹
l a ⁵⁵	ˀl a ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
k e ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
kʰ l o ¹¹	kʰ l o ¹¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
ˀb i ¹¹	ˀb i ¹¹
ʔ a ɴ ¹¹	ʔ a m ¹¹
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
d o ¹¹	d o ¹¹
s ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
m ɛ ¹¹	m w ɛ ¹¹
d o ŋ ¹¹	d o ŋ ¹¹
k ə ⁰	k ə ⁰
pʰ ou ⁵⁵	pʰ ou ⁵⁵
s r a ⁵⁵	s r a ⁵⁵
t ə ʔ̚ ⁵¹	t ə ʔ̚ ⁰
cʰ w i t ⁵¹	kʰ r w i t ⁵¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
m i ⁵⁵	m i ⁵⁵
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
m a ¹¹	m̥ a ¹¹
k ə ⁰	k ə ⁰
pʰ l ɨ m ⁵⁵	pʰ r ɨ ɴ ⁵⁵
s u ⁰	s u ⁵⁵
l w ɛ ⁵⁵	l w ɛ ⁵⁵
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
