n u ¹	n o ²
d r æ n ¹	d r æ n ¹
tɕʰ i ¹	tɕʰ i ¹
tɕʰ æ n ¹	tɕʰ æ ¹
n ɔ ³	n ɔ ³
ɣ ɯ ²	ɣ ɯ ²
ʈ j o ŋ ¹	d r o ŋ ¹
ʈ r o ⁴	d r o ŋ ¹
q æ ⁵	q æ ⁵
m ə ¹	m e ¹
ɣ ɔ ¹	ɣ ɔ ¹
b e ŋ ¹	p r i ¹
s j i ⁴	s j i ⁴
ɖʐ o ³	ɖʐ o ³
tsʰ o ⁴	tsʰ o ⁴
ɖʐ i ¹	ɖʐ i ¹
k u ŋ ¹	k o ŋ ¹
x e n ¹	x e n ¹
j o ⁴	j ɔ ⁵
m e ¹	m e ¹
dʑ i ³	d i ³
d r r o ŋ ⁴	d r o ⁴
s r o ŋ ¹	sʰ r o ŋ ¹
ɕ j æ n ¹	s j æ n ¹
x w æ ²	x w a ¹
m r æ n ¹	m j æ ¹
m i ²	m i ²
tʰ o ŋ ¹	tʰ r o ŋ ¹
k w a ⁴	k w a ⁴
s r ɯ ²	sʰ r ɯ ²
n j u ŋ ²	ŋ j o ²
qʰ ɔ ¹	qʰ ɔ ¹
qʰ w æ ¹	qʰ w æ ¹
dʑ i ²	dʑ i ²
ɖʐ ɯ ²	dʑ ɯ ²
ts r i ¹	ts r i ¹
d j e ⁵	d j ɛ ⁵
g ɯ ¹	g ɯ ¹
x e n ¹	x e n ¹
p ɯ ²	p u ²
ts r o ²	ts r ɔ ²
k w i ¹	k w ɛ ¹
χ æ n ¹	χ æ n ¹
b ɯ ¹	b ɯ ¹
ʁ o ŋ ŋ ¹	ʁ o ŋ ¹
dʑ æ n ³	dʑ æ n ³
s r i ⁴	s r i ⁴
