s u ¹	ʒ a ¹
v ɛ ¹	v ɛ ¹
ˀm ɛ ¹	ˀm ɛ ¹
p i ²	p ɨ̠ ¹
l a ŋ ²	l a ŋ ²
h e ¹	h e ¹
ts a ŋ ²	ts a ŋ ³
g u ²	g o ŋ ¹
n ɛ ¹	ɲ e ¹
dz a ¹	dʒ e̠ ¹
d ɛ ²	d e ²
a ¹	a ¹
n e̠ ²	ˀn e̠ ³
ʃ i̠ ¹	ʃ i ¹
m a ³	m o ²
ts e ²	ts e ²
b e̠ ¹	b e ³
s a ¹	s a ¹
m a ¹	m a ³
t a ŋ ¹	t u ¹
d i ¹	d i ¹
a ¹	a ¹
b y ³	b y̠ ³
ˀn i̠ ³	ɲ a ²
a ¹	a ¹
tʃ ɛ ¹	tʃ ɛ ¹
l o̠ ³	l o̠ ³
m a ¹	m a ¹
ˀm o ¹	ˀm i ¹
k a ²	k a̠ ³
k a ¹	k a ¹
d u ²	d u ²
kʰ j ɛ ¹	kʰ e̠ ¹
pʰ ɨ̠ ²	pʰ e ²
ˀv a ŋ ¹	v y ²
n i ²	n i ²
m a ³	m a ³
n a̠ ²	n a ²
dz i ²	dz i ²
tsʰ y̠ ¹	tsʰ y̠ ¹
k ɨ ²	k j o ²
n a ¹	n a ŋ ³
t a ŋ ¹	k j i ³
kʰ a̠ ¹	kʰ a̠ ¹
kʰ o̠ ³	kʰ o̠ ¹
ʒ i ³	x i̠ ³
b u j ²	b ɨ ¹
n̩ ²	n i ²
a ²	a ²
pʰ e̠ ³	pʰ e̠ ¹
ts o̠ ³	ʒ i̠ ³
a ¹	a ¹
p ɨ̠ ²	p ɨ ²
kʰ ɛ ³	kʰ y̠ ¹
tʃʰ o̠ ³	tʃʰ o̠ ¹
z i̠ ³	z i ³
p u ²	p u ²
g j y j ²	g y ²
ˀn y ³	ˀn y̠ ³
b i ³	b i ³
n y ²	n y ²
tsʰ u ¹	tsʰ y ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
a ¹	a ¹
kʰ i ¹	kʰ i ¹
k a ŋ ¹	x a ŋ ¹
ˀl u ¹	l u ³
b a ²	b o ³
d ɛ ²	d ɛ ²
g j e ²	dʒ e ¹
s a ²	s u ¹
m e̠ ³	m e̠ ³
ɲ u ¹	n u ²
m j a ²	m j y ²
tsʰ u ³	tsʰ e̠ ¹
m u ³	m a ŋ ³
ŋ a ¹	ŋ a ¹
g a ¹	g i ¹
b y ¹	b y ¹
ʃ ɛ ²	ɣ u ²
kʰ y ¹	kʰ y ¹
m a ³	m a ³
k o̠ ²	k o̠ ³
a ¹	a ¹
ts ɛ ¹	ts ɛ ¹
a ¹	a ¹
ʒ e̠ ¹	ɣ e̠ ¹
s e̠ ³	s e̠ ³
ɣ i ¹	ɣ ɨ ¹
m a ²	m a ²
a ¹	a ¹
kʰ i ²	kʰ i ²
dz e ¹	dz e ¹
ʒ i ¹	tʃʰ u ¹
m a ³	m a ³³
l e̠ ³	l e̠ ³
m e̠ ³	ˀm e̠ ³
ɣ a ŋ ¹	ʃ u ³
ɣ i ³	ɣ i ¹
n i̠ ¹	n i̠ ¹
kʰ o̠ ³	k j o̠ ³
ɣ e ²	ɣ ɛ ²
l e̠ ³	l e̠ ³
x a̠ ³	x a̠ ³
ˀn a ²	ˀn a ²
s i̠ ¹	s i̠ ¹
m ɛ̠ ²	m ɛ ²
m u ²	m j u ²
d u ²	d u ²
pʰ a̠ ²	pʰ a ²
d i ¹	tʃʰ e ¹
tsʰ i̠ ²	kʰ j i ²
k a ²	k a ŋ ²
ˀm e̠ ¹	ˀm j e̠ ¹
ɣ ɨ ¹	ɣ o ¹
ˀl a ²	ˀl a ²
p j i ²	b a ²
tsʰ a ¹	tsʰ ɛ̠ ¹
tʰ a ²	tʰ a ŋ ²
ˀl u ²	l i ²
s a ¹	h a ¹
a ²	a ¹
ŋ u ¹	ˀŋ y ¹
l a̠ ²	l a ²
dz a ¹	dz a ¹
