m̥ ə ¹¹	m ə ¹¹
l i ⁵⁵	l ei ⁵⁵
s r ɔ ¹¹	s r ɔ ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
tʰ a m ⁵⁵	tʰ a m ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
m̥ ə ŋ ¹¹	m ə ŋ ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
cʰ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
n o ʔ̚ ⁵¹	n o k̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
pʰ r u ⁵⁵	p r u ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
l a ɴ ⁵⁵	l a m ⁵⁵
k i ¹¹	k i ¹¹
l ɛ ¹¹	l ɛ ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
k ə ¹¹	k ə ⁰
ɟ a ¹¹	ɟ a ¹¹
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
s e ʔ̚ ⁵¹	s i ʔ ⁵¹
m̥ i ⁵⁵	m i ⁵⁵
r w a ¹¹	h w a ¹¹
n e ¹¹	n e ¹¹
kʰ l ɔ ¹¹	kʰ l ɔ ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
s ə ⁵⁵	s ə ⁰
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
ˀd o ¹¹	ˀd o ¹¹
k ə ⁰	k ə ⁰
kʰ r r a ¹¹	g r a ¹¹
ˀd w ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
p l e ⁵⁵	p l e ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
tʰ a ¹¹	tʰ a ¹¹
