ɖʐ o ¹	ɖʐ u ŋ ¹
x ɔ ³	h ɔ ³
tʰ u ⁵	tʰ r u ³
ts i ²	ts i ²
g r u ¹	g u ¹
h a ŋ ⁵	h a ŋ ⁵
tɕ i ¹	tɕ i ¹
b ɯ ¹	b ɯ ¹
x w i ²	x w i ²
b j ɛ ²	b j ɛ ²
sʰ r æ ⁴	sʰ r æ ⁴
ɖʐ o ³	ɖʐ o ³
m ɛ ¹	m ɛ ¹
m ɯ ¹	m ɯ ¹
tsʰ j j ¹	tsʰ j i ¹
tʰ r æ ŋ ¹	tʰ æ n ¹
dʑ o ŋ ŋ ²	ɖʐ u ŋ ²
ɕ r a ⁴	ɕ a ⁴
dz u ŋ ²	dz o ŋ ¹
sʰ w a ¹	sʰ w a ŋ ¹
tʰ r r æ ŋ ¹	tʰ æ n ¹
tɕ e n ²	ɖʐ e n ²
s r r o ⁵	s r o ⁴
p r a ⁵	b a ŋ ⁴
p æ ³	b j o ²
n e	n e ⁴
m ɯ	m ɯ ⁴
n o ¹	n o ²
p r e n ¹	p r e n ¹
m u ⁴	m ɔ ⁴
t u ²	t u ²
tsʰ j æ ŋ ¹	tsʰ j æ n ¹
qʰ ɯ ¹	k ɯ ¹
n o ŋ ¹	n o ŋ ¹
h w a ⁴	h w a ⁴
tsʰ o ⁴	tsʰ o ⁴
s w a n ¹	s w a ŋ ¹
dʑ æ ŋ ³	dʑ æ n ³
tɕ e n ¹	tɕ e n ¹
tɕ o ŋ ¹	tɕ u ¹
b e ²	b e ²
qʰ o ¹	qʰ u ¹
s w a ¹	s w a ŋ ²¹
dʑ i ⁴	d i ⁴
ŋ o ³	ŋ o ³
ɖʐ o ⁴	ɖʐ o ⁴
z ɔ ¹	z ɔ ¹
