tsʰ i ⁴	tɕʰ i ⁴
m ɯ ⁴	m ɯ ⁴
b i ⁴	p r i ⁴
l o ŋ ¹	l o ŋ ¹
j e n ¹	j e n ¹
tsʰ o ŋ ¹	tsʰ o ŋ ¹
j ɯ ⁴	j ɯ ⁴
ts o ŋ ¹	dz o ŋ ¹
tɕ i ⁴	ts j i ⁴
j a ⁴	j a ⁴
q æ ¹	q æ n ¹
m ø ŋ ²	m ø ²
ts i ¹	dz i ¹
qʰ w o ³	qʰ w æ ³
t ɛ ⁴	t ɛ ⁴
ɣ ɯ ¹	ɣ ɯ ¹
ts i ²	ts i ²
q ŋ a ⁴	tsʰ w a ⁴
tɕ i ¹	tɕ i ¹
s r o ¹	s r o ¹
q æ ⁴	q æ ⁴
d o ⁴	d r o ⁴
m i ¹	m i ¹
qʰ a ⁴	qʰ a ⁴
tsʰ i ¹	tɕʰ i ¹
p e ¹	p e ¹
ɖʐ i ¹	ɖʐ i ¹
m ɛ ³	m i ¹
n w e n ¹	ʁ w e n ¹
q ɯ ¹	q ɯ ¹
d o ⁴	ɖʐ o ⁴
j e ⁴	n j i ⁴
ŋ w æ ⁵	ŋ w æ ⁵
tʰ u ²	tʰ r u ²
tɕ r æ n ³	dʑ æ n ³
tɕ i ⁴	ts j i ⁴
b a ⁴	b a ⁴
m o ⁴	m ɔ ⁴
pʰ a ⁴	pʰ a ¹
p r æ ⁴	p r æ ⁴
ŋ w e n ¹	ŋ w e n ¹
q ɔ ¹	ɣ ɔ ¹
m æ ²	m æ ²
q w a ⁴	ɣ w a ⁴
n ɔ ³	n ɔ ³
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
