tɕ ɯ ¹	tɕ u ¹
χ ɯ ⁴	χ ɯ ⁴
p æ n ²	p æ n ²
k o ⁵	k o ⁵
pʰ æ ⁴	pʰ æ ⁴
ɖʐ o ¹	ɖʐ u ŋ ¹
q o ŋ ŋ ⁴	q ɔ ⁴
m æ ²	m æ ²
m ɛ ²	m ɛ ²
ɕ r o ŋ ¹	s o ŋ ¹
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
g ɯ ¹	g ɯ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
dʑ j a ⁴	dʑ a ⁴
d w ɛ ⁵	d w ɛ ⁵
tɕʰ j e n ¹	tsʰ j e n ¹
p r æ ⁴	p r æ ⁴
dz i ¹	dz i ¹
kʰ o ⁴	kʰ o ⁴
d ɔ ¹	d r ɔ ¹
tɕʰ j æ n ¹	tɕʰ æ ¹
b ɯ ¹	b ɯ ¹
ɕ r ɯ ¹	tɕ ɯ ¹
ɖʐ o ŋ ŋ ²	ɖʐ u ŋ ²
m e ²	m ə ²
s ɛ n ⁵	s e n ⁵
d j o ŋ ¹	d r o ŋ ¹
s j i ²	s j i ²
ŋ u ŋ ²	ŋ u ²
m ɯ ³	m ɯ ⁵
ɣ ɔ ⁵	ɣ u ⁴
b ø ²	b o ŋ ²
s r i ²	s r i ²
t ɯ ⁴	d j ɯ ²
b e ¹	b e ¹
n j o ŋ ²	n j o ŋ ²
tɕʰ i ¹	tɕʰ i ¹
ɖʐ i ²	ɖʐ i ²
ts w ɛ ⁴	ts w ɛ ⁴
s j u ²	ɕ w i ²
b e ŋ ¹	p r i ¹
tʰ r r æ n ¹	tʰ æ n ¹
ŋ o ³	ŋ o ³
ɖʐ i ¹	ɖʐ i ¹
s a ⁴	ɕ a
m æ ¹	m æ ¹
tɕ j æ ⁴	tɕ æ ¹
