tsʰ o ³	tsʰ u ³
p u ²	p u ²
ŋ u ¹	ŋ o ¹
t æ ⁴	t æ ŋ ⁴
s r r æ ⁴	sʰ r æ ⁴
ŋ j o n ²	ŋ j o ²
j o ⁴	j ɔ ⁴
tɕ i ¹	tɕ i ¹
d ɯ ²	ʈ ɯ ²
m ɯ ²	m ɯ ²
ɕ i ⁴	s j i ⁴
ts o ⁴	ts o ⁴
j o ⁵	j ɔ ⁵
ts i ¹	dz i ¹
tʰ u ²	tʰ j u ²
p æ n ²	p æ n ²
d ɔ ⁵	d ɔ ⁵
k o ⁵	k o ⁵
ŋ j æ ³	b j o ²
q u ŋ ²	ɣ u ŋ ²
ts æ ⁴	ʈ æ ⁴
ŋ w a ŋ ⁴	ŋ w a ⁴
m i ²	m i ²
b r i ²	b r i ²
j o ŋ ²	n j o ²
ɯ ²	ɯ̃ ²
kʰ o ⁴	kʰ o ⁴
qʰ ɯ ¹	qʰ ɯ̃ ¹
d ɯ ³	d r ɯ ³
ɖʐ i ²	ɖʐ i ²
m ø ²	m ø ²
s ɔ ⁴	s ɔ ⁴
ɕ j i ⁴	ɕ i ⁴
tsʰ ɯ ³	tsʰ ɯ ³
qʰ o ŋ ¹	qʰ o ŋ ¹
s o ŋ ³	s u ŋ ³
k u ²	k u ²
tsʰ æ n ¹	tʰ æ n ¹
s o ³	sʰ ɔ ³
j a ⁴	j a ⁴
tʰ j o ⁴	tʰ r o ⁴
d o ⁴	ʈ o ⁴
m ɛ ¹	m ɛ ¹
n ɛ ¹	n ɛ ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
b ɔ ³	b ɔ ³
