g a ²	g ɨ ¹
l e̠ ³	l e̠ ³
tʃʰ ɨ ²	tʃʰ ɨ ²
l e̠ ³	l e̠ ³
m u ²	m̩ ²
d e ³	d e ³
z a ³	z a ²
b o ²	pʰ u ¹
tʃʰ i ¹	tʃʰ e ¹
v ɛ ³	ˀv ɛ ²
ʃ ɛ ¹	ʃ ɛ ¹
tʰ o̠ ²	d a ²
s ɛ ²	s ɛ ²
d u ¹	d u ¹
h e ³	h e̠ ³
m u ¹	ˀm u ¹
tʃ a ¹	h a ¹
k i ¹	k i ¹
ts ɛ ¹	ts ɛ ¹
dʒ a ¹	dʒ a ¹
v a ¹	v u ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
pʰ a ŋ ²	pʰ j a ŋ ²
kʰ ɛ ²	kʰ j ɛ ²
k j a ³	k a ŋ ²
l a ²	l a ²
l i ¹	ˀl i ¹
a ²	a ²
m o ²	m ɨ ²
g ɨ ¹	g i ¹
b u ³	b u̠ ¹
p a ¹	p a ¹
g a ŋ ²	g a ŋ ¹
tsʰ y̠ ²	tsʰ y̠ ³
z ɿ ³	z i ³
ʃ ɛ ¹	ʃ ɛ ¹
k o̠ ³	k o̠ ³
a ¹	a ¹
pʰ e̠ ¹	pʰ e̠ ¹
s i ¹	s e ¹
g o̠ ²	g o̠ ³
ɣ ɨ ³	ɣ ɨ ³
b e ²	b o ²
l e̠ ³	l e̠ ³
ɣ i ¹	ɣ i ¹
kʰ a ²	kʰ a ²
p a̠ ³	p a̠ ³
tsʰ a ¹	tsʰ ɛ̠ ¹
kʰ u ²	kʰ ɨ ²
x i̠ ³	x ɨ̠ ³
s i̠ ¹	s i̠ ¹
v ɛ ¹	v ɛ ¹
t i ¹	t a ³
tʰ a ²	tʰ a ²
l ɛ ¹	l a ³
b ɛ ¹	b ɛ ¹
s y ²	ʃ y ¹
m e ²	m a ³
ˀv u ¹	f u ³
n y ¹	n y ¹
h a̠ ³	ɣ a̠ ³
ˀl a ŋ ¹	l a ŋ ¹
kʰ y ²	kʰ y ²
g y o ²	g y ²
ˀl o̠ ¹	ˀl o̠ ¹
tʃ a ŋ ¹	tʃ a ŋ ¹
ˀm y ¹	ˀm j y̠ ¹
d v y ³	d u ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
z a ²	z a ²
s ɿ ¹	s u ¹
pʰ a ŋ ¹	pʰ j a ¹
ɲ e̠ ³	n i̠ ³
k i ¹	k ɨ ¹
tʃ u ²	tʃ u ²
d a ¹	d a ¹
kʰ ɛ ²	kʰ j ɛ ²
k j i ²	k a ŋ ²
p ɛ̠ ³	p ɛ̠ ¹
v e̠ ³	v e̠ ³
ʃ a ¹	ʃ a ¹
ts a ¹	ts a ³
ˀv a ¹	ˀv a ¹
pʰ y ²	pʰ y ²
s i ¹	s i ³
kʰ a ²	kʰ a ²
m i ¹	m i ¹
m u ²	m̩ ²
tsʰ i ²	d i ²
tʃ e̠ ³	ts e̠ ³
ɨ̠ ²	ɨ̠ ¹
m j a ³	m j a ³
ˀn i ¹	ˀn i ³
kʰ o ²	kʰ o ²
pʰ e̠ ³	pʰ e̠ ³
tʃ e̠ ³³	k u ²
m ɛ ²	m ɛ ²
ɣ i ¹	ɣ i ¹
tsʰ i ¹	k i ¹
ŋ a ¹	ŋ a ¹
ʃ a ¹	ʃ a ¹
m o ²	m o ²
ˀv u ¹	f u ³
a ¹	a ¹
g o̠ ³	g o̠ ³
tsʰ a ¹	tsʰ a ¹
kʰ j i̠ ²	kʰ j i ²
t e̠ ¹	t e̠ ¹
n i ¹	n i ¹
b e̠ ¹	b e̠ ¹
m u ¹	ˀm u ¹
h u ¹	h u ¹
s ɛ ²	s ɛ ²
a ¹	a ¹
pʰ e̠ ¹	pʰ e̠ ¹
v e̠ ³	v e̠ ³
h a ¹	h a ¹
ɣ ɨ ¹	ɣ ɨ ¹
g o ¹	g u ¹
ˀn y ¹	ˀn y ¹
n i ²	n u ²
dz i̠ ¹	dz e ¹
t ɛ ¹	t ɛ ¹
n e̠ ³	n e̠ ³
