m ²	m̩ ²
s ɛ ŋ ¹	s ɛ ²
ˀl a ŋ ¹	l a ŋ ¹
v ɛ̠ ³	v ɛ̠ ³
n i̠ ³	ˀɲ y ²
t i ¹	t i ¹
a ¹	a ¹
p a̠ ³	p a̠ ³
kʰ u ¹	kʰ u ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
n a ¹	n a ¹
ʃ o ¹	ɣ u ²
ˀv e̠ ³	v e ³
t a ³	t u ¹
g i ²	g ɨ ²
kʰ i̠ ¹	kʰ ɨ̠ ³
ˀn ɛ̠ ³	ˀn ɛ̠ ³
dz i ¹	dz i ¹
ˀn i ³	ɲ a ²
k e̠ ²	k j e ²
t ɛ ¹	t ɛ ¹
z e ³	z i̠ ³
k a ŋ ¹	k a ŋ ¹
n a ŋ ¹	n a ¹
a ¹	a ¹
m e̠ ³	m ɛ ³
kʰ ɨ ²	kʰ ɨ ²
dz e ¹	dz e ¹
d a ŋ ¹	d u ³
ˀl a ¹	ˀl a ¹
kʰ u ¹	kʰ u ¹
ŋ a ¹	ŋ a ¹
pʰ u ¹	pʰ u ¹
g o̠ ³	g o̠ ³
ˀv y ¹	v y ²
d a ¹	d a ¹
z e̠ ³	z e̠ ³
tʰ u ¹	tʰ u ³
m a ²	m a ²
m a ³	m a ³
ʃ a ¹	ʃ a ¹
t y ¹	t y ¹
h e̠ ³	h e̠ ³
d u ¹	tsʰ o̠ ¹
d i ²	tʃʰ e ¹
b o ¹	b o ³
m a ³	m a ³³
ˀm ɛ ¹	ˀm ɛ ¹
ʃ a ³	ʃ a̠ ³
a ¹	a ¹
kʰ o̠ ²	kʰ j o ²
dz a ¹	dz a ¹
g a ³	g j a ³
v ¹	v u ¹
ˀl u ¹	ˀl u ³
m j a ŋ ¹	m j a ŋ ¹
h y̠ ²	h y̠ ³
l a ŋ ¹	l a ŋ ¹
b i ²	b j o ²
dz i̠ ²	dz i ³
m ɛ ²	m ɛ ²
s e ²	s e ²
kʰ y ²	kʰ y ²
ˀl a ŋ ¹	ˀl u ²
p e̠ ³	p ɛ ³
kʰ o̠ ³	kʰ o̠ ¹
d i ¹	d i ¹
ˀn ɛ ¹	n ɛ̠
ˀl u ¹	ˀl u ¹
ŋ a ¹	ŋ a ¹
d e̠ ¹	d e̠ ¹
m a ³	m a ³
p a ³	p a̠ ³
l a ŋ ³	l o̠ ³
ɣ i ³	ɣ ɨ ³
l ɛ̠ ³	l e̠ ³
p a̠ ³	p a̠ ³
m a ¹	m a ¹
l a ¹	l a ¹
m a ²	m ɛ ²
m o̠ ¹	m o̠ ¹
k ɨ ³	kʰ o ²
ts a ²	dʒ ɛ ²
a ¹	a ¹
s e̠ ³	s e̠ ³
ɣ e ²	ɣ ɛ ²
s i̠ ³	s i̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
pʰ a ²	pʰ a ²
kʰ ɛ ³	kʰ a ³
tʰ y ¹	dz i ¹
ˀl o̠ ¹	ˀl o̠ ¹
t i ¹	t i ²
a ²	a ²
t e̠ ¹	t e̠ ¹
x u ²	x ɛ ²
m a ²	m a ²
k j o̠ ¹	k o̠ ¹
ˀn a ¹	ˀn a ¹
a ¹	a ¹
g i ¹	s i ¹
kʰ ɛ ³	kʰ ɛ ²
g i̠ ³	k u ³
ʃ ɨ ²	ʃ ɨ ²
g a ¹	g a ³
pʰ j a ŋ ¹	pʰ j a ¹
m i ¹	m i ¹
tʃ i̠ ¹	tʃ u ¹
l a ¹	l a ¹
z e̠ ³	z e̠ ³
pʰ i̠ ³	pʰ i̠ ³
pʰ e̠ ³	pʰ e̠ ³
ˀn y ¹	ˀn y ¹
ʃ a ¹	h a ¹
ɣ ɨ ³	ɣ ɨ ²
dz e ¹	dz e ¹
t o̠ ³	t o̠ ³
p a ¹	p a ¹
m u ³	m u ³
tʰ a ²	tʰ a ²
kʰ o ²	kʰ o ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
tʃ ɛ ¹	tʃ ɛ ¹
l a ¹	l a ¹
ʒ i ³	ʒ i̠ ³
