b i ʔ̚ ⁵¹	p i ʔ̚ ⁵¹
j ai ⁵⁵	j ai ⁵⁵
k ə ŋ ⁰	k ə ⁰
m a ¹¹	m a ¹¹
l a ŋ ⁵⁵	l a ŋ ⁵⁵
ˀb u ⁵⁵	ˀb ə ⁵⁵
l e ¹¹	l e ¹¹
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
h l a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
ŋ j a ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
ʔ w i ¹¹	ʔ w i ¹¹
r a ɴ ¹¹	r a ɴ ¹¹
d ou ¹¹	d ou ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
k l a ⁵⁵	k l ɛ ⁵⁵
r e ¹¹	r e ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ ⁵¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
m ə ⁵⁵	m̥ ei ⁵⁵
s u ɴ ¹¹	s u n ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
cʰ r ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
k ə ⁰	k ə ⁰
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
m e ¹¹	m e ¹¹
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
kʰ w i ¹¹	kʰ w i ¹¹
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ l ɔ ¹¹	kʰ l ɔ ¹¹
s o ¹¹	s o ¹¹
n i ⁵⁵	n̥ i ⁵⁵
ʔ r e ⁵⁵	t r e ⁵⁵
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
