p e̠ ¹	pʰ e̠ ¹
d a ¹	d a ŋ ¹
ˀn a ²	ˀn a ²
v e̠ ³	v e̠ ³
ˀl y ²	ˀl y ²
tsʰ i ²	tsʰ i ²
tsʰ i ²	tsʰ ɨ ²¹
ˀn y ¹	ˀn y ¹
k ɛ ¹	k j ɛ ¹
t u ³	t u ²
m j a ²	m j y ²
t o̠ ³	t u ³
x ɛ ²	x ɛ ²
p i ¹	p u ¹
ˀn ɛ ³	ˀn i ³
m i ¹	m i ¹
p a̠ ³	p a̠ ³
b ɛ ¹	b ɛ ¹
a ¹	a ¹
ˀn o ¹	ˀn i ¹
d ɛ ²	d e ²
ŋ a ¹	ŋ a ¹
m ²	m̩ ²
v ɛ̠ ³	v ɛ̠ ³
ɣ i ¹	ɣ ɨ ¹
m a ³	m o ²
g j o ¹	g ɨ ¹
n e̠ ¹	n i̠ ¹
b y ³	b y̠ ³
l a ²	l a ²
a ¹	a ²
h y̠ ²	h y̠ ³
kʰ y ²	kʰ j o ²
s ɛ ŋ ²	s ɛ ²
l ɛ ¹	l ɛ ¹
s i ¹	s i̠ ¹
m a ³	m o ²
b o ²	b o ²
t i ²	t i ²
pʰ e ³	pʰ i̠ ³
l y ²	l y ²
tʃ i ¹	tʃ u ¹
s i̠ ¹	s i̠ ¹
a ²	a ²
d e ¹	d e ¹
n e ³	n e̠ ³
n e ¹	n i ¹
m a ¹	m a ¹
dz i ²	dz e ²
k j ɛ ²	k j ɛ ²
p o̠ ²	p u ²
a ²	a ²
k ɛ ²	k j e ²
x ɛ ¹	kʰ a ²
s y ³	s i ³
k o̠ ³	k o̠ ¹
kʰ u ¹	kʰ u ¹
d u ²	d u ²
ɣ i ³	ɣ i̠ ³
m a̠ ²	m ɨ ²
a ¹	a ¹
a ¹	a ¹
kʰ o̠ ³	kʰ o̠ ³
dz a ¹	dz a ¹
x i ¹	x e ¹
t e̠ ¹	t i̠ ¹
g o̠ ¹	g o̠ ¹
ˀl a ²	ˀl a ²
m ɛ ²	m e ²
m i ¹	m i ¹
m a ³	m a ³
k j i ¹	k o̠ ³
v o ¹	v u ¹
m j a ³	m j a ³
n i ²	n u ²
g j i ²	g ɨ ²
p a ¹	p a ¹
tsʰ a ¹	tsʰ a ¹
a ¹	a ¹
tʰ u ¹	tʰ u ¹
f u ³	f u ³
ˀl u ¹	l u ³
m i ¹	m i ¹
tʃ a ³	tʃ a ³
pʰ u ¹	pʰ u ³
x e̠ ¹	x e̠ ³
kʰ i ²	kʰ ɨ ²
k a ¹	k a̠ ³
tsʰ y ¹	tsʰ a m ¹
ʃ i ²	ʃ ɨ ²
s a̠ ³	ʃ a̠ ³
ʃ ɛ ³	ʃ ɛ ¹
k a ³	k a̠ ³
dʒ a ŋ ¹	dʒ a ŋ ¹
a ¹	a ¹
dz e ³	dz i ²
ts e ¹	ts e ¹
g i ¹	g i ¹
ˀn a ¹	ˀn a ¹
a ¹	a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
dz i ³	dz i ³
tsʰ e̠ ¹	tsʰ e̠ ³
m a ³	m a ³
b j ɛ̠ ³	b j a̠ ³
d e̠ ¹	d e̠ ¹
tsʰ i ¹	tʃʰ e̠ ¹
l a ŋ ¹	l a ŋ ¹
s a ²	tsʰ i ²
k o̠ ²	k o̠ ³
n y ²	n y ²
m a ³	m a ³
ˀm a ³	ˀm a ³
l a ³	l a ³
g j i ²	g u ²
n a ²	n a ²
d u ²	d u ²
tʃʰ ɛ ¹	tʃʰ ɛ ¹
g o̠ ³	g o̠ ³
ts i ³	ts i ³
l a ²	l a ²
s ɛ ²	s ɛ ²
ʃ i ³	ʃ i̠ ¹
pʰ a ²	pʰ a ²
g j i ²	g i ²
