d ɨ̠ ¹	d u ¹
n i̠ ¹	n i̠ ¹
ʒ u ¹	ɣ ɛ ¹
g j o̠ ³	g o̠ ³
d i ¹	d i ¹
b a ¹	p e ¹
ˀl a ¹	ˀl a ¹
s u ²	s ɛ ²
p ɨ ²	p ɨ ²
ˀm i ³	ˀm i ³
ʒ e̠ ¹	ɣ e̠ ¹
s a ²	s a ²
t a ŋ ¹	t a ŋ ¹
s ɛ ²	s e ²
a ¹	a ¹
l i̠ ³	l e̠ ³
ts e ²	ts e ²
l a ²	l a ²
p a̠ ¹	p a̠ ³
ts a ¹	ts a ¹
a ¹	a ¹
k a ³	k o ³
dʒ a ŋ ¹	dʒ a ŋ ¹
p y̠ ¹	p y̠ ¹
b ɛ ²	b o ¹
z a ²	z a ²
b y ¹	b y ¹
kʰ o ²	kʰ o ²
h e ¹	h e ¹
g j i ¹	g ɨ ¹
l e̠ ³	l e̠ ³
ˀl o̠ ¹	ˀl o̠ ¹
k u ¹	k a ²
m o̠ ²	m o̠ ¹
l e̠ ³	l e̠ ³
s e ²	s e ²
i ²	i ²
kʰ ɨ ²	kʰ ɨ̠ ¹
tsʰ e ¹	k i ¹
a ¹	a ²
kʰ ɛ ¹	kʰ a̠ ¹
ŋ a ¹	ŋ a ¹
m ɛ ²	m ɛ ²
dz u ³	tʰ e̠ ³
kʰ ɛ ¹	kʰ ɛ ¹
k o ²	k j o ²
z a ²	z a ²
d e ³	d e ³
n a̠ ¹	ɲ a̠ ¹
g j ɛ ²	g j o ¹
ts a ¹	dz a ¹
s ɛ ²	s ɛ ²
a ²	a ²
k a ³	k a ¹
v i̠ ³	v i̠ ³
x a ³	ˀx a ³
b a ²	b o ³
b j o ²	pʰ u ¹
g u ³	g o ŋ ³
ˀl y ³	ˀl y ³
n e̠ ¹	n i̠ ¹
a ²	a ²
s i ¹	s i̠ ¹
m a ³	m a ³
s e ¹	s e ¹
ɣ ɨ ¹	ɣ ɨ ¹
dz a ²	dz a ²
b j a ²	b j a ²
m a ³	m o ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
ɨ ²	ɨ̠ ³
e ²	e ²
ŋ u ¹	ˀŋ y ¹
n e̠ ¹	ŋ j a̠ ¹
s i̠ ¹	s i̠ ¹
m a ³	m a ³³
z a ²	z a ²
ʃ a̠ ²	ʃ a ²
k a ²	k a ŋ ²
p e ¹	p e ¹
n e̠ ¹	n i̠ ¹
d a ²	d a ²
m ²	m̩ ²
d a ŋ ¹	d u ³
dz a ¹	dz a ¹
g o ¹	g u ¹
ˀl a ²	ˀl a ²
kʰ u ¹	kʰ u ¹
ʃ y ¹	s y ¹
ʃ a̠ ³	ʃ a̠ ³
tsʰ o̠ ¹	tsʰ o̠ ¹
tʃʰ i ¹	tʃʰ e ¹
l a ²	l a ²
tʃ i̠ ¹	tʃ u ¹
d e̠ ³	d ɛ̠ ³
tsʰ i ²	tsʰ i ²
tʰ u ¹	tʰ u ¹
tʰ a ²	d a ²
tsʰ e ¹	tsʰ e ¹
a ¹	a ¹
n a ŋ ¹	n a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɣ a ŋ ²	ɣ a ŋ ²
ɲ u ¹	n u ²
kʰ u ¹	kʰ a ŋ ²
tʃʰ y ¹	tsʰ y ¹
k y ²	k a ŋ ²
n u ²	n u ²
ˀn o̠ ³	ˀn u̠ ³
s ɛ ŋ ²	s ɛ ²
ɣ i ¹	ɣ i ¹
tʃʰ i ²	tʃʰ i ²
b o̠ ¹	b o̠ ¹
l y ²	l y ²
dz i ²	tʰ a ²
b o ²	b o ²
m ɛ ²	m ɛ ²
b y ¹	b y ¹
k i ¹	k j i ³
ˀm e̠ ¹	ˀm j e̠ ¹
a ¹	a ¹
kʰ j e̠ ¹	kʰ e̠ ¹
z y ²	z y ²
d u ²	d i ²
t e̠ ³	t a ³
