o ⁴	ɔ ⁴
p i ¹	p r i ¹
p a ⁴	b r æ ⁴
ɣ o ³	g o ŋ ³
t æ n ¹	t æ ¹
q a ⁴	q æ ⁴
j ɛ n ¹	j e n ¹
b j ø ²	b j ɛ ²
ŋ o ²	ŋ u ²
ts e ⁵	d j ɛ ⁵
ɣ ɯ ²	ɣ ɯ ²
d o ⁴	ɖʐ o ⁴
d o ¹	ɖʐ u ŋ ¹
tsʰ ɯ ³	tsʰ ɯ ³
l ɔ ¹	l ɔ ¹
ŋ w e n ¹	ŋ w e n ¹
q æ n ²	q æ n ¹
ɖʐ i ²	ts r e n ²
s r r æ ²	s r e ŋ ²
ŋ w a ŋ ⁴	ŋ w a ⁴
d r ɯ ³	d r ɯ ³
ɣ æ ⁴	ɣ æ ⁴
b o ¹	p j e ¹
qʰ æ ⁴	qʰ æ ⁴
ɖʐ r æ ¹	ts r e ŋ ¹
k a ŋ ¹	k a ŋ ¹
q w a ⁴	ɣ w a ⁴
j o ŋ ²	n j o ²
qʰ ɛ n ¹	qʰ e n ¹
p r e n ¹	p r e n ¹
s r r e n ²	s r o ⁴
p j o ¹	p r ɔ ¹
j a ⁴	j a ⁴
j a ⁴	j a ⁴
tʰ e ⁴	tʰ e ⁴
tʰ i ²	tʰ j e ²
tsʰ i ¹	tsʰ j i ¹
m æ ²	m æ ²
m ø ²	m ø ²
b j a ⁴	b j ɛ ⁴
t ɯ ⁴	t ɯ ⁴
tʰ u ¹	tʰ r u ¹
ts o ⁴	ts o ⁴
j ɛ n ¹	j e n ¹
ɖʐ r o ŋ ¹	z r o ŋ ¹
d w e n ⁵	ɖʐ w e n ⁵
