ɲ e̠ ³	n i̠ ³
m ɛ ²	m ɛ ²
pʰ i̠ ³	pʰ i̠ ³
tsʰ ɛ ¹	tsʰ ɛ ¹
kʰ i ¹	kʰ i ¹
n u ¹	n u̠ ¹
m a ŋ ²	m a ŋ ²
b a ²	b a ²
a ¹	a ¹
m e̠ ²	m j a ²
g a ²	g a ²
pʰ a ŋ ¹	pʰ j a ¹
s ɿ ¹	s u ¹
ɣ a ³	g a ³
a ²	a ¹
v i̠ ³	v i̠ ³
pʰ ɛ ³	b ɛ ²
m u ³³	m a ŋ ³
s i̠ ³	s i̠ ³
v a ²	v a ²
b a ³	b a ³
i ²	i ²
g j y ¹	g y ¹
b e̠ ¹	b e̠ ¹
b ɛ̠ ²	b e ²
d a ŋ ¹	d a ŋ ¹
l a ²	l a ²
n i̠ ¹	ŋ j a̠ ¹
ɨ̠ ³	ɨ̠ ¹
d o̠ ¹	d o̠ ¹
ʃ i̠ ³	ʃ i̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
ʒ a ³	k a ²
pʰ ɛ ¹	pʰ ɛ ¹
m i̠ ¹	m i̠ ¹
k ɛ ¹	k j ɛ ¹
dʒ a ¹	dʒ a ¹
tʰ u ²	tʰ u ²
tʃʰ j o ²	b a ²
b a ŋ ²	b a ŋ ²
b ɛ̠ ¹	b ɛ̠ ¹
tʃ a ¹	tʃ i̠ ¹
m u ¹	ˀm u ¹
p y ²	p y ²
g o ¹	g ɨ ¹
n ɛ̠ ³	n ɛ ³
k a ŋ ¹	k a̠ ³
l a ²	l a ²
m a ³	m a ³
n i ¹	n i ¹
ɲ j e ¹	ɲ e ¹
pʰ e̠ ³	pʰ e̠ ³
v e̠ ³	v e̠ ³
ˀl e̠ ³	l e̠ ³
tʰ u ¹	tʰ u ¹
tʃ i ²	b j o ²
a ¹	a ¹
dz a ²	dz a ²
tsʰ e̠ ²	tʃʰ e̠ ¹
kʰ ɛ ²	kʰ j ɛ ²
t ɛ ¹	t ɛ ¹
s ɛ ²	s ɛ ²
dz ɛ ²	dz ɛ ²
b ɨ ²	b ɨ ¹
kʰ j ɛ̠ ³	tsʰ e̠ ¹
s ɛ ²	s e ²
ɣ i ¹	ɣ i ¹
a ²	a ²
d y ²	d y ²
m a ³	m a ³³
ɣ ɨ ¹	ɣ i ¹
m j a ³	m j a ³
n a ²	n a ²
a ¹	a ¹
ʒ a ŋ ¹	ʒ a ŋ ¹
s ɛ ²	s ɛ ²
z e̠ ³	z e̠ ³
s ɛ ²	ʃ y ¹
ˀn y ¹	ˀn y ¹
tsʰ a ¹	tsʰ a ¹
n i̠ ¹	n i̠ ¹
g j i ¹	g i ¹
kʰ j ɨ ¹	kʰ i ¹
ts ɨ ²	ts i ²
a ¹	a ¹
dz i ²	dʒ e ³
ˀŋ j a̠ ²	ɲ a ²
s u ¹	ʒ a ¹
g ɨ ¹	g ɨ ¹
t o ¹	t u ¹
ɣ e̠ ²	dʒ ɛ ²
pʰ i ²	pʰ i ²
u̠ ¹	a ¹
d e̠ ¹	d e̠ ¹
a ²	a ²
tsʰ o̠ ¹	tsʰ o̠ ¹
ˀv u ²	v y ²
dz y ¹	dz y ¹
z i ³	z i ³
ˀn i ³	ˀn i ³
g a ŋ ²	g a ŋ ¹
m̩ ²	m̩ ²
l ɛ̠ ³	l e̠ ³
d a ŋ ¹	tʃʰ i̠ ³
ts e ¹	ts e ¹
p a̠ ³	p a̠ ³
dz e ¹	dz e ¹
dz e ²	dʒ e ¹
a ¹	a ¹
pʰ ɛ ŋ ³	pʰ ɛ ³
pʰ j e ²	pʰ a ¹
k ɛ ¹	k ɛ ¹
kʰ j ɨ ¹	kʰ ɨ ³
n i ²	n i ²
p y ¹	p y ³
ʃ ɨ ²	ʃ ɨ̠ ³
kʰ a ²	kʰ a ²
a ¹	a ¹
t o ŋ ¹	tʃʰ ɛ ²
ˀm i̠ ¹	ˀm j y̠ ¹
ʒ i ³	ʒ e ¹
s a̠ ²	ʃ a̠ ³
g o̠ ³	g o̠ ³
ʃ e̠ ³	ʃ e̠ ³
