ɔ n ɪ ɛ	ɔ n ʊ s
oː d ɪ t oː r ɛ	aʊ d iː t oː r ɛ m
d ɛ l ɪ b ɛ r aː r ɛ	d eː l iː b ɛ r aː r ɛ
s k r ɪ k t uː r a m	s k r iː p t uː r a m
s ɔ lː ɪ k ɪ t a t j ʊ m n ɛ m	s ɔ lː ɪ k ɪ t aː t j oː n ɛ m
a k a n t ʊ m	a k a n tʰ ʊ m
k ʊ lː ʊ m k aː r ɛ	k ɔ lː ɔ k aː r ɛ
s t ɔ l ɪ d ʊ m	s t ɔ l ɪ d ʊ m
a m ɪ k a l ɛ	a m iː k aː l ɛ m
a p r ɔ kː r ɛ	a pː r ɔ p j aː r ɛ
p r oː t r ɛ ɪ r ɛ	p r oː t r a h ɛ r ɛ
w a l ɛ t uː d ɪ n aː r j ʊ m	w a l eː t uː d ɪ n aː r j ʊ m
p a n ɪ k uː l a m	p aː n ɪ k ʊ l a m
k ɛ s p ɪ t ɛ m	k aɪ s p ɪ t ɛ m
d ɪ s p ɛ r a t j oː n ɛ m	d eː s p eː r aː t j oː n ɛ m
l ɪ b ɪ d ʊ	l ɪ b iː d ɪ n ɛ m
kʷ ɛ s t j ɪ ɔ n aː r j ʊ m	kʷ aɪ s t j oː n aː r j ʊ m
f l uː w j ɪ a l ɛ	f l ʊ w j aː l ɛ m
m aː s a m	m a sː a m
a n ɪ k ɪ l a t j ʊ m n ɛ m	a nː ɪ h ɪ l aː t j oː n ɛ m
w ɪ g oː r	w ɪ g oː r ɛ m
a b ɛ rː aː r ɛ	a b ɛ rː aː r ɛ
ɛ s k r uː t a r ɛ	s k r uː t aː r ɛ
a k w ɛ s ɛ r ɛ	a kː w ɪ eː s k ɛ r ɛ
n a l ɪ k a m	n a t ɛ m
a m a n ʊ ɛ n s ɛ m	aː m a n ʊ eː n s ɛ m
b ɛ n ɛ f a t ɛ r ɛ	b ɛ n ɛ f a k ɛ r ɛ
m ɛ d ɪ k ɪ n a l ɛ	m ɛ d ɪ k iː n aː l ɛ m
s ɛ r ɔ t ɪ n ʊ m	s eː r oː t ɪ n ʊ m
n ɛ b l m a m	n ɛ b ʊ l a m
s a ŋ gʷ ɪ n aː r j ʊ m	s a ŋ gʷ ɪ n aː r j ʊ m
a fː l ɪ k t j ʊ m n ɛ m	a fː l ɪ k t j oː n ɛ m
a r k ɛ t ɪ p ʊ m	a r kʰ ɛ t y p ʊ m
d ɛ t ɛ r g ɛ r ɛ	d eː t ɛ r g eː r ɛ
ɛ m uː ŋ g ɛ r ɛ	eː m ʊ ŋ g ɛ r ɛ
r ɛ t a r d aː r ɛ	r ɛ t a r d aː r ɛ
m ɛ s k ɛ r ɛ m	m ɪ s k eː r ɛ
p l uː m a m	p l uː m a m
p r ɔ s t r aː r ɛ	p r oː s t ɛ r n ɛ r ɛ
w ɪ s ɪ b ɪ lː ɪ d aː d ɛ m	w iː s ɪ b ɪ l ɪ t aː t ɛ m
k ɔ m p ɛ t ɛ r ɛ	k ɔ m p ɛ t ɛ r ɛ
s oː l ʊ m	s oː l ʊ m
ɛ s ɛ r k ɪ t ʊ m	ɛ k s ɛ r k ɪ t ʊ m
d ɛ k ɪ m a t j ʊ m n ɛ m	d ɛ k ɪ m aː t j oː n ɛ m
k ɔ n s ɪ l ʊ m	k oː n s ɪ l j ʊ m
ɔ k t a w ʊ m	ɔ k t aː w ʊ m
p a d r aː s t r ʊ m	p a t r a s t r ʊ m
k ɔ n t r ɔ w ɛ r s j a m	k ɔ n t r oː w ɛ r s j a m
k r ɔ t a l ʊ m	k r ɔ t a l ʊ m
m a t ɛ r n ʊ m m	m aː t ɛ r n ʊ m
d eː m ɔ m s t r a t j ʊ m n ɛ m	d eː m oː n s t r aː t j oː n ɛ m
s p ʊ s aː r ɛ	s p oː n s aː r ɛ
t r ɪ b uː t ʊ m	t r ɪ b uː t ʊ m
p r ɔ n ɔ s ɪ k	p r ɔ ŋ n oː s ɛ m
d ɪ fː ɛ r ɪ r ɛ	d ɪ fː ɛ rː ɛ
k a d aː w ɛ r	k a d aː w ɛ r
ɛ s t ɪ r p ɛ m	s t ɪ r p ɛ m
a n uː l aː r ɛ	aː n ʊ l aː r ɛ m
f r ɛ m ɪ t ʊ m	f r ɛ m ɪ t ʊ m
m uː r ɛ	m uː r ɛ m
ɛ n uː m ɛ r aː r ɛ	eː n ʊ m ɛ r aː r ɛ
m iː n uː a m	m ɪ n uː t j a m
ɪ t uː d ɪ n ɛ m	t uː d ɪ n ɛ m
f l uː w ɪ	f l ʊ w j ʊ m
p lː ɛ n ɪ t uː d ɛ m	p l eː n ɪ t uː d ɪ n ɛ m
ɛ s t uː p r ʊ m	s t ʊ p r ʊ m
k ɛ s aː r ɛ	k ɛ sː aː r ɛ
g ʊ n t uː r a m	j uː ŋ k t uː r a m
t ɛ m p ɔ r aː l ɛ	t ɛ m p ɔ r aː l ɛ m
w r ɪ n k ʊ m	w ɪ ŋ k ʊ l ʊ m
p r ʊ k aː k ɛ	p r ɔ k aː k ɛ m
s ʊ s p ɛ n s j oː n ɛ m	s ʊ s p eː n s j oː n ɛ m
a n ɪ s	a n iː s ʊ m
l a t ɪ t uː d ɪ m ɛ m	l aː t ɪ t uː d ɪ n ɛ m
l iː m p ɪ d ɛ m	l ɪ m p ɪ d ʊ m
ʊ	ʊ m
r aː b uː l a m	r a b ʊ l a m
ɔ b l ɪ g a t j oː n ɛ	ɔ b l ɪ g aː t j oː n ɛ m
f a b ʊ l oː s ʊ m	f aː b ʊ l oː s ʊ m
k ɔ ŋ n ɔ m ɛ m m	k oː ŋ n oː m ɛ n
w a k ɪ lː a t j oː n ɛ m	w a k ɪ lː aː t j oː n ɛ m
k ʊ lː aʊ d a r ɛ	k ɔ lː aʊ d aː r ɛ
ɔ s p ɪ t a l ɛ	h ɔ s p ɪ t aː l ɛ
p r ɛ t ɛ r ɪ r	p r aɪ t ɛ r iː r ɛ
p ɔ n d ɛ r oː s ʊ m	p ɔ n d ɛ r oː s ʊ m
t eː l oː s ʊ m	z eː l oː s ʊ m
ɛ m s p ʊ ŋ g ɪ r ɛ	ɛ k s p ʊ ŋ g ɛ r ɛ
k ɪ k aː a m	k ɪ k aː d a m
ɛ r ɛ t ɪ k ʊ m	h aɪ r ɛ t ɪ k ʊ m
k ʊ lː ɛ g j ʊ m	k ɔ lː eː g j ʊ m
k ɔ m p ɛ t ɪ t oː r ɛ	k ɔ m p ɛ t iː t oː r ɛ m
d ɛ g ʊ lː aː r	d eː k ɔ lː aː r ɛ
s a t ɪ r ɪ k ʊ m	s a t ɪ r ɪ k ʊ m
ɛ m s t iː ŋ gʷ ɛ r ɛ m	ɛ k s t ɪ ŋ gʷ ɛ r ɛ
m ɛ n aː k a	m ɪ n aː k ɛ m
a b a t j a m	a bː aː t j a m
k aː p l ʊ	k a p ʊ l ʊ m
k ɛ s a t j oː n ɛ m	k ɛ sː aː t j oː n ɛ m
aʊ g uː r ɛ m	aʊ g ʊ r ɛ m
k a r ʊ t a m	k a r oː t a m
l aː k r ɪ m a m	l a k r ɪ m a m
iː n d ɪ ŋ n aː r ɛ	ɪ n d ɪ ŋ n aː r iː
d ɛ s uː m ɪ r ɛ	d eː s uː m ɛ r ɛ
r ɛ s ɛ n aː r ɛ	r ɛ s ɪ ŋ n aː r ɛ
m t ɛ m p ɛ r aː r ɛ	t ɛ m p ɛ r aː r ɛ
p l a m g ɛ r ɛ	p l a ŋ g ɛ r ɛ
f ɛ m ɛ l a m	f eː m ɛ lː a m
f ʊ n d ɪ b uː lː ʊ m	f ʊ n d ɪ b ʊ l ʊ m
p r ɪ s aː r ɛ	p r ɛ t j aː r ɛ
m a l ɛ d ɪ k t j oː n	m a l ɛ d ɪ k t j oː n ɛ m
w ɛ l a m	w eː l ʊ m
b ɪ l ɛ m	b iː l ɛ m
k ʊ w r ɛ	k ʊ b aː r ɛ
p a r t ɪ k ʊ l aː r ɛ	p a r t ɪ k ʊ l aː r ɛ m
aː b r ɔ g aː r ɛ	a b r ɔ g aː r ɛ
aʊ t ɔ r ɪ t aː t ɛ m	aʊ k t oː r ɪ t aː t ɛ m
a p a r ɪ r ɛ	a pː aː r eː r ɛ
k a m a r a m	k a m a r a m
k ɔ m p l a k ɛ r ɛ	k ɔ m p l a k eː r ɛ
a p r ɛ h ɪ n s j ʊ m n ɛ m	a pː r ɛ h ɛ n s j oː n ɛ m
ɛ k s ɔ r t aː r ɛ	ɛ k s h ɔ r t aː r iː
s k uː d ɪ ɛ r ʊ m	s k uː t aː r j ʊ m
aː w iː ʊ m	a w ɛ m
t uː	t uː
k a l ɪ t aː t ɛ m	kʷ aː l ɪ t aː t ɛ m
iː m p aː r	ɪ m p a r ɛ m
t ɪ t ʊ l aː r ɛ	t ɪ t ʊ l aː r ɛ m
k ɔ m p l ɪ k a t j oː n ɛ	k ɔ m p l ɪ k aː t j oː n ɛ m
d ʊ m ɪ n ɪ k a l ɛ	d ɔ m ɪ n ɪ k aː l ɛ m
k ɔ n k ɛ d ɛ r ɛ	k ɔ ŋ k eː d ɛ r ɛ
p a t ɪ k r ɛ	p a t iː
k a r p ɛ n t ʊ m	k a r p ɛ n t ʊ m
n ʊ m ɛ r aː r ɛ	n ʊ m ɛ r aː r ɛ
f ɔ k a m	pʰ oː k a m
p r ɔ s k r ɪ w ɛ r ɛ	p r oː s k r iː b ɛ r ɛ
k r ɛ t a m	k r eː t a m
l ɛ k t ɪ k a m	l ɛ k t iː k a m
a d uː l t ɛ r aː r ɛ	a d ʊ l t ɛ r aː r ɛ
b r uː k ʊ m	b r uː kʰ ʊ m
p aː r ʊ m	p a r ɛ m
p a l p ɪ t a t j oː n	p a l p ɪ t aː t j oː n ɛ m
n ʊ w ɪ l uː n j ʊ m	n ɔ w ɪ l uː n j ʊ m
g r a k ɪ l ɛ	g r a k ɪ l ɛ m
d ɛ n t a l ɛ	d ɛ n t aː l ɛ m
iː n f l ɪ k t j oː n ɛ m	ɪ n f l ɪ k t j oː n ɛ m
aː p r ɪ r ɛ	a p ɛ r iː r ɛ
s ɔ p t ʊ ʊ s ʊ m	s ʊ m p t ʊ oː s ʊ m
ɪ n w ɪ m t ʊ m	ɪ n w ɪ k t ʊ m
d eː w eː r ɛ	d eː b eː r ɛ
t ɛ t r ɪ k ʊ m	t aɪ t r ɪ k ʊ m
l aʊ d ɛ m	l aʊ d ɛ m
r ɛ k t a ŋ g ʊ l ʊ m	r ɛ k t a ŋ g ʊ l ʊ m
a k uː m uː l a t j ʊ m n ɛ m	a kː ʊ m ʊ l aː t j oː n ɛ m
p a t r j a r k aː t ʊ m	p a t r j a r kʰ a t ʊ m
g l ʊ r j a r ɛ	g l oː r j aː r iː
ɔ l ɪ g aː r k ɪ k ʊ m	ɔ l ɪ g a r kʰ ɪ k ʊ m
