ˀl o̠ ³	l o̠ ³
n u i ²	ŋ i ²
ʒ ɛ̠ ¹	s a ¹
a ²	a ²
m u ³	m u ³
k ɛ̠ ³	k o̠ ¹
s ɛ ¹	s ɛ ²
dʒ ɛ̠ ³	dʒ e̠ ¹
t o ¹	t u ¹
p a̠ ³	p a̠ ³
l ɛ ¹	l ɛ ¹
ˀn e̠ ²	n e ²
t o ³	t o̠ ³
d e̠ ¹	d e̠ ¹
m ɛ̠ ²	m ɛ ²
n i̠ ¹	n i̠ ¹
d e̠ ¹	d e̠ ¹
m̩ ²	m̩ ²
pʰ a ŋ ³	b a ŋ ³
ˀn ɛ ²	n ɛ ²
s y ²	s y ²
s a ²	ʃ a̠ ³
x i ³	x ɨ̠ ³
n i̠ ¹	n i̠ ¹
tʃʰ o̠ ¹	tsʰ o̠ ¹
tʰ u ¹	tʰ u ¹
s a ²	s a ²
dz e ¹	dz e ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
s e ¹	s e ¹
h a ¹	h a ¹
m j a ³	m j a ³
dz a ŋ ¹	dz a ŋ ¹
k j y ³	ts y ³
k o ²	k j o ²
ʃ u ³	ʃ a̠ ³
b e̠ ³	b e̠ ³
m u ²	m o ²
ˀm o ¹	ˀm y̠ ¹
ˀl a ŋ ŋ ²	ˀl u ²
ˀm e ³	ˀm i ³
ˀm ɛ ¹	ˀm ɛ̠ ¹
a ¹	a ¹
kʰ i ¹	kʰ i ¹
b i ²	b i ²
h e ¹	h e ¹
ʃ a ³	ʃ a ³
s i ¹	s i̠ ¹
g j i ¹	g i ¹
tʰ u ²	tʰ u ²
e ²	e ²
g u ¹	g o ŋ ¹
l a ŋ ³	l u ³
p a ¹	p a ¹
h a ¹	h ɛ̠ ¹
g a ³	g a ³
h a ŋ ŋ ²	h a ŋ ²
ʒ e ³³	tʰ u ³
l a ŋ ¹	l a ŋ ¹
a ²	a ²
a ¹	a ¹
ts e ¹	tʃ e ¹
kʰ j i ³	kʰ ɨ ³
d e ¹	d i ¹
g j o ¹	g ɨ ¹
s ɛ̠ ³	s ɛ̠ ³
m̩ ²	m u ²
s e̠ ¹	s a ¹
tʰ a ²	tʰ a ²
d a ¹	d a ¹
tsʰ u ¹	tsʰ u ¹
m i ¹	m i ¹
a ¹	a ¹
m ɛ ²	m e ²
h e ¹	h e ¹
k ɛ ³	k ɛ ³
d e ²	d i ³
m a ³	m a ³
tsʰ y ¹	tsʰ y ¹
d a ²	d a ²
ts a ³	ts a ³
p e ¹	p e ¹
ˀm ɛ ¹	ˀm ɛ ¹
ˀm o̠ ²	m o̠ ³
t i̠ ³³	t i̠ ¹
n e̠ ³	n e̠ ³
a ²	a ²
kʰ a ²	kʰ a ²
p ɛ ³	p ɛ ¹
t ɛ̠ ³	t a ³
dz i̠ ¹	dz i ¹
tʃ ɛ ³	t e̠ ³
pʰ i ²	p i ²
pʰ o̠ ²	pʰ u ¹
z a ²	z a ²
k ɛ ³	k u ²
b o ³	b u̠ ¹
b y̠ ³	b y̠ ³
f u ³	f u ³
m a ³	m a ³
s j a ³³	s y ¹
h ɛ̠ ¹	h ɛ̠ ¹
d ɨ ²	d a ²
ˀn i ³	ˀn i ³
s ɛ ²	s e ²
b j y ¹	b j y ¹
l y ¹	l y ¹
g u ¹	g u ³
h e̠ ³	h e̠ ³
a ¹	a ¹
dz ɛ̠ ²	dʒ ɛ ²
a ¹	a ¹
tʃ i̠ ³³	k u ²
kʰ y ¹	kʰ y ¹
a ¹	a ¹
pʰ j a ¹	pʰ j a ¹
g a ²	g ɨ ¹
l i ²	ˀl i ³
kʰ o̠ ³	kʰ o̠ ³
ŋ a ²	ŋ a ²
k e ²	k j ɛ ²
tʰ a ³	tʰ a ³
ɣ i ¹	ɣ i ¹
p ɨ ²	p ɨ ²
