tʃʰ i ²	tʰ i ²
dʒ i ²	dʒ e ³
b o ¹	pʰ u ²
m ɛ ²	m ɛ ²
d e̠ ³	d ɛ̠ ³
d e̠ ¹	e̠ ¹
z a ²	z a ²
a ¹	a ¹
b y ³	b y̠ ³
g j a ŋ ³	g a ŋ ³
kʰ a̠ ¹	kʰ a̠ ¹
d o ²	d i ²
a ¹	a ¹
k a ŋ ³	k a̠ ³
t y ¹	t y ¹
pʰ u ³	pʰ u ³
t a ³	t a ³
pʰ ɨ ²	pʰ ɨ ²
m ɛ ²	ˀm ɛ ¹
x i ¹	x ɨ ¹
n̩ ²	n i ²
s ɛ ²	s ɛ ²
t e ²	t i̠ ³
m e̠ ²	m j a ²
kʰ i ¹	kʰ i ¹
s i̠ ³	s i̠ ³
m j a ³	m j a ³
s a ²	s a ¹
pʰ j ɛ̠ ³	b j a̠ ³
p a̠ ³	p a̠ ³
ʃ i̠ ³	ʃ i̠ ¹
v e̠ ³	v e̠ ³
m ɛ ²	m ɛ ²
s a ²	s a ²
ʒ e ³	x i ³
dz i ³	dz i̠ ¹
tsʰ u ²	dz ɿ ³
l a ²	l a ²
b j o ²	b j a ²
s e̠ ¹	s a ¹
a ¹	a ¹
pʰ j e ²	pʰ a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
kʰ a̠ ³	kʰ a ³
ˀl a ¹	ˀl a ¹
a ¹	a ¹
n e ¹	n e ¹
l a ŋ ¹	l a ŋ ¹
ˀl i ²	ˀl i ²
h ɛ̠ ³	x a̠ ³
v e̠ ³	v e̠ ³
b a ²	b a ²
a ²	a ¹
ɣ ɛ ²	ɣ ɛ ²
g j o ³	g a ³
l i ¹	ˀl i ¹
a ²	a ²
kʰ ɛ̠ ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
ʃ a̠ ¹	ʃ ɛ ¹
s ɛ ²	s ɛ ²
n e ³	n e ³
ʒ i ²	b j o ²
n o ¹	n e ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
n i ²	n i ²
h a ¹	h a ¹
v o ²	v a ²
ˀv ɛ̠ ¹	ˀv e̠ ¹
m j a ¹	m j a ŋ ¹
b e̠ ³	b e̠ ³
ŋ j a̠ ¹	ˀŋ j a̠ ¹
l y ²	l y ²
tsʰ ɨ ¹	tʃʰ ɨ ¹
ŋ w a ³	x i ¹
s y ²	k j o̠ ³
l a ¹	l a ¹
ˀn o̠ ³	ˀn u̠ ³
m ɛ ²	m e ²
ɲ j e ¹	ɲ e ¹
tʃʰ ɨ ²	tʃʰ ɨ ²
ʃ a ¹	ʃ a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
dz i ³	dz i̠ ¹
ŋ o ¹	ˀŋ y ¹
b o ²	b o ²
ts i ³	ts i ³
m̩ ²	m̩ ²
k i ²	tsʰ i ²
u ²	ɣ u ²
dʒ a ¹	dʒ a ¹
ˀm i ¹	ˀm i ¹
x a ²	x a ²
m i ¹	m i ¹
s y ²	s y ²
l a ²	l a ²
tʃ u ²	tʃ u ²
h ɛ̠ ¹	h ɛ̠ ¹
a ¹	a ²
d a ŋ ¹	d a ŋ ¹
h e̠ ²	h e̠ ³
p e̠ ²	p e ³
t a ³	d a ²
tʃ ɿ ¹	tʃ u ¹
dʒ u ³	dʒ u ³
u ²	ɣ u ²
h e̠ ³	h e̠ ³
z y ²	z y ²
x i ¹	x e ¹
k a̠ ²	k a ŋ ²
ˀl a ŋ ³	ˀl a ŋ ³
ˀm ɛ̠ ²	m u ²
a ¹	a ¹
tʃ ɨ ¹	tsʰ y̠ ¹
x i ³	x ɨ̠ ³
m a ³	m a ³
ʃ ɨ ²	ʃ ɨ ²
d v i ³	d u ¹
dz i ³	dz i ³
m a ³	m a ³
h e ¹	h e ¹
ʒ i ²	ʒ i̠ ³
ʃ o ³	ʃ i ³
a ¹	a ¹
