kʰ y ²	kʰ j o ²
g y ¹	g j o ¹
h e ³	h e̠ ³
h u ¹	h u ¹
b y̠ ³	b y̠ ³
m i ¹	m i ¹
kʰ a ²	kʰ a ²
b i ³	b i ³
ts a ³	ts a ³
z a ¹	s u ¹
ˀn a ²	ˀn a ²
kʰ o ²	kʰ a ²
kʰ o ²	kʰ o ²
ˀv u ²	v y ²
m e ²	m j a ²
t a ŋ ¹	t a ŋ ¹
k a ²	dz a ¹
h e̠ ³	h e̠ ³
ˀn i ¹	ˀn i ¹
tʃ e̠ ²	ts e̠ ³
t a ²	t a ²
b y̠ ³	b y ³
t u̠ ¹	t i̠ ¹
t i̠ ³	t i̠ ³
dz i ³	dz i ³
a ¹	a ¹
ts i ³	ts i̠ ³
ˀl a ŋ ¹	l a ŋ ¹
ˀl o̠ ²	ˀl o̠ ¹
dʒ i ¹	dʒ i ¹
p e̠ ³	p ɛ ³
k o̠ ³	k o̠ ¹
tsʰ u ¹	tsʰ u ¹
b e̠ ²	b o ²
ˀn i ³	ˀn i ³
b ɨ̠ ¹	b ɨ̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
k ɨ ³	k j o ²
ʃ a ¹	ʃ a ¹
ˀm ɛ ¹	ˀm ɛ ¹
dʒ ɛ̠ ¹	dʒ e̠ ¹
a ²	a ²
a ¹	a ¹
pʰ ɨ ²	pʰ ɨ ²
dz e ¹	dz e ¹
b a̠ ²	b ɨ ²
ˀn y ¹	ˀn y ¹
tʃʰ o ³	tʰ u ³
h a ¹	h a ¹
g u ³	g a ŋ ³
ts o̠ ¹	ts o̠ ¹
d i ¹	d i ¹
ˀn y ¹	ˀn y ¹
k u ¹	k ɛ ³
b o ²	pʰ u ¹
s i ¹	s i̠ ¹
tʃ a̠ ²	tʃ a̠ ³
pʰ e ³	pʰ e ¹
ɣ a ³	ɣ a ³
b y̠ ³	b y ³
ɛ̠ ²	e ²
pʰ ɛ ³	pʰ ɛ ³
m a ³	m o ²
ʒ a ŋ ²	z a ²
b a̠ ¹	pʰ u ²
z e̠ ³	z e̠ ³
x i̠ ³	x ɨ̠ ³
pʰ e ¹	pʰ e ¹
m ɛ ²	m e ²
kʰ o̠ ²	kʰ o ²
k o̠ ³	k o̠ ³
ˀl y ¹	ˀl y ³
t a ³	t a̠ ³
pʰ e̠ ¹	pʰ e̠ ¹
p y ²	p y ²
n i ³	ˀn i ³
h i̠ ³	h e̠ ³
m a ³	m a ³
p e̠ ²	p e ³
s y ²	s y ²
g j o̠ ³	g o̠ ³
d e̠ ¹	d e̠ ¹
s i ¹	s i̠ ¹
tʰ a ²	tʰ a ²
a ¹	a ¹
ˀn i ¹	ˀn i ¹
k o̠ ²	k u ²
p a̠ ³	p a̠ ³
ˀn i ¹	ˀn i ¹
m u ²	m j u ²
s a ²	s a ²
v ɛ ¹	v ɛ ¹
n̩ ²	n̩ ²
k ɛ ³	k ɛ ³
ɣ u ³	ɣ u ²
b j ɛ̠ ¹	b j ɛ̠ ¹
b a ²	b a ²
x a̠ ³	x a̠ ³
g i ¹	g i ¹
d a ŋ ¹	d a ŋ ¹
b e̠ ¹	b e̠ ¹
b o ¹	b o ¹
t o̠ ³	t o̠ ³
l i ¹	l a ³
t o ¹	t u ¹
b a ²	b a ²
k e ³	k j i ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s i ³	s i ³
g i ²	g i ²
p a̠ ³	p a̠ ³
ɣ i̠ ³	ɣ i̠ ³
m ɛ ²	m ɛ ²
pʰ a ŋ ¹	pʰ j a ¹
m o ¹	m u ¹
ˀl y ¹	ˀl y ¹
ˀl i ²	ˀl u ¹
l u ¹	l u ¹
a ¹	a ¹
d v i ³	d u ¹
a ¹	a ¹
d a ¹	d a ¹
m̩ ²	m u ²
a ¹	a ¹
