ˀn o̠ ³	ˀn u̠ ³
h a ²	ɣ o ²
kʰ i̠ ¹	kʰ e̠ ¹
n ɛ ²	n ɛ ²
ts i̠ ²	ts e ²
ʒ i ²	ʒ i̠ ³
m o ²	m o ²
ˀl j a ³	ˀl u ²
kʰ ɛ ³	kʰ y̠ ¹
j a ³	j a ŋ ²
s i ¹	s i̠ ¹
ʒ i ²	z i̠ ³
tʰ ɛ̠ ³	dz ɛ̠ ³
g u ²	g j u ²
ˀl a ¹	ˀl a ¹
b a ²	b a ²
ʃ y ¹	s y ¹
m ɨ̠ ³	m ɨ̠ ³
k i ²	k a ŋ ²
ʃ a ³	ʃ a ¹
s ɛ ²	s ɛ ²
a ¹	a ¹
d y ²	d y ²
z e̠ ³	z e̠ ³
dz a ŋ ¹	dz a ŋ ¹
x ɛ ²	x ɛ ²
tsʰ a ²	tsʰ a ²
ˀm a̠ ¹	ˀm j y̠ ¹
tʃʰ i̠ ²	tʃʰ i ²
p ɛ̠ ³	p ɛ̠ ¹
ts i ¹	ts i ¹
p ɛ̠ ³	p a̠ ³
a ¹	a ¹
ˀm e ³	ˀm i ³
ˀn y ¹	ˀn y ¹
ʃ ɛ ¹	ʃ ɛ ¹
m j a ³	m j a ³
dz i ²	dʒ e ³
dz e ¹	dz e ¹
g u ³	g o ŋ ³
tʃ e̠ ¹	k u ²
d i ²	d i ²
tʰ y ³	tʰ y ³
kʰ o ¹	kʰ o ¹
kʰ o̠ ³	kʰ o̠ ³
p i ²	p i ²
ɣ i ³	ɣ i̠ ³
kʰ u ²	kʰ o ²
ŋ j e ³	ˀn i ³
d a ²	d a ²
pʰ y ²	pʰ y ²
t a ⁵⁵	t a ⁵⁵
tsʰ e̠ ¹	tsʰ e̠ ¹
tʃ a ³	tʃ a ³
pʰ o ŋ ²	pʰ u ²
n i ³	n i ²
ˀl o̠ ³	ˀl o̠ ¹
s a ¹	s a ¹
tʰ e ¹	tʰ e̠ ¹
a ¹	a ¹
tʰ a ²	d a ²
a ¹	a ¹
m e ¹	m i ¹
kʰ o̠ ³	kʰ o̠ ³
ɣ i ³	ɣ i̠ ³
t e ³	t i̠ ³
n i ²	n i ²
ts ɛ̠ ³	ts ɛ̠ ³
p a̠ ³	p a̠ ³
p a̠ ³	p a̠ ³
dz a ¹	k a ²
n a ¹	n a ¹
n i̠ ³	ˀn e̠ ³
h e ¹	h e ¹
ʃ ɛ ³	s e ³
z a ²	z a ²
tsʰ e̠ ²	tʃʰ e̠ ¹
k o ³	k o ³
s ɛ ²	s ɛ ²
ˀl e ²	l i ²
n y ¹	n y ¹
t u ²	t u ¹
tsʰ o̠ ¹	tsʰ o̠ ¹
b y ¹	b y ¹
ŋ j e ³	ˀn i ³
n y ¹	n y ¹
x a̠ ³	x a̠ ³
n i̠ ¹	n i̠ ¹
b j o ³	b e ²
n a ²	ˀn a ²
g j o̠ ³	g o̠ ³
d u ³	d u ¹
d u ³	d u ¹
tʰ a ²	tʰ a ŋ ²
pʰ y ²	pʰ j y ²
h y̠ ²	h y̠ ³
x a ¹	x a ¹
p o̠ ¹	p o̠ ¹
tʃ u ²	tʃ u ²
f ɛ ³	f ɛ ³
k ɛ ³	k e̠ ³
a ²	a ²
ŋ j e ³	ˀn i ³
s ɛ ²	s ɛ ²
pʰ a ²	pʰ a ²
a ¹	a ¹
ɣ i ¹	ɣ i ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
j v a ³	v a ³
t y ²	g j y ²
k j y ³	ts y ³
b e ²	b o ²
m e ¹	m i ¹
pʰ o ³	pʰ u ²
m ʒ ³	m o ²
tʃʰ i̠ ²	tʃʰ i ²
tʰ e̠ ³	tʰ e̠ ³
v i̠ ³	v i̠ ³
ˀl i̠ ³	ˀl u̠ ¹
pʰ i̠ ³	pʰ i̠ ³
tsʰ i ²	tsʰ i ²
n e ²	n i ²
s ɛ ²	s e ²
s a ²	s a ²
