q j ɯ ²	ɣ ɯ̃ ²
q ɯ ¹	q ɯ ¹
s r u ¹	ʂ u ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
p j o ¹	pʰ j u ŋ ¹
j o ŋ ²	ŋ j o ²
ts i ⁴	ɖʐ i ⁴
b ɛ ²	p ɛ ²
d i ²	ɖʐ i ²
p ɯ ²	p u ²
j o ⁵	j ɔ ⁵
qʰ w i ²	kʰ w ɛ ²
b æ n ¹	b æ ŋ ¹
q æ ⁴	q æ ⁴
m æ ²	m æ ²
m e ¹	m e ¹
tʰ u ŋ ²	tʰ u ²
s r w a ¹	ɕ w i ²
ts j j æ n ³	dʑ æ n ³
s r r ɯ ²	sʰ r ɯ ²
g ɯ n ³	g ɯ̃ ³
m ɔ ⁴	m ɯ ⁴
ɕ j e n ¹	sʰ j e n ¹
tɕ i ¹	tɕ u ¹
ʈ u ⁴	ʈ o ⁴
h æ ŋ ³	h a ŋ ⁵
n o ŋ ⁵	n o ŋ ⁵
m ɯ ²	m ɯ ²
ŋ w æ ⁵	ŋ w æ ⁵
tɕʰ i ¹	tɕʰ i ¹
n j e n ¹	n j e n ¹
tsʰ ɯ ³	tsʰ ɯ ³
d o ŋ ²	d j o ŋ ²
s i ²	s r i ²
q a ŋ ¹	q a ŋ ¹
pʰ ɯ ¹	pʰ ɯ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
kʰ o ¹	qʰ o ŋ ¹
ɕ j i ⁴	ɕ i ⁴
b ɯ ¹	b r i ¹
s r r æ ⁴	sʰ r æ ⁴
t a ⁴	d a ⁴
t æ n ¹	t æ ¹
ts i ¹	ts r i ¹
q a ⁴	q æ ⁴
tɕʰ e ⁴	tʰ e ⁴
