t ɛ ⁴	d ɛ ⁴
tɕ i ⁴	ts j i ⁴
b æ n ¹	b æ ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
ɣ ɯ ²	ɣ ɯ ²
b u ²	b ɯ ²
ɕ r a ⁴	ɕ a ⁴
s r ɯ ²	sʰ r ɯ ²
d o ¹	ɖʐ u ŋ ¹
ɕ i ²	s j i ²
ɣ w a ⁴	ɣ w a ⁴
p r æ ⁴	p r æ ⁴
ɯ ²	ɯ̃ ²
qʰ o ⁴	qʰ ɔ ⁴
s ɔ ²	s ɔ ²
ʈ o ⁴	ts r o ⁴
m ɯ ²	m ɯ ²
b r i n ¹	b r i ²
ts i ²	ts i ²
n e ⁴	n e ⁴
ŋ o ŋ ³	ŋ ɔ ³
p ɯ ²	p ɯ ²
p r a ⁴	p r a ⁴
tɕʰ j æ n ¹	tsʰ j æ n ¹
tʰ æ n ¹	tʰ æ n ¹
k a ŋ ¹	k a ŋ ¹
q æ ⁴	q æ ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
p r e n ¹	p r e n ¹
m r æ n ¹	m j æ ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
n w e n ¹	ʁ w e n ¹
n o ŋ ⁵	n o ŋ ³
b æ ⁴	b æ ⁴
s r o ŋ ¹	s o ŋ ¹
χ ɯ ²	x ɯ ³³
ts i ŋ ¹	ts r e ŋ ¹
s r r æ ŋ ²	s r e ŋ ²
s i ²	s i ²
χ w æ ¹	x w a ¹
tʰ u ¹	tʰ r u ¹
m æ ⁵	m æ ⁵
m e ²	m ə ²
b r a ³	h ɔ ³
sʰ w a ŋ ¹	sʰ w a ŋ ¹
s o ŋ ³	s u ŋ ³
