b ɛ ²	b o ¹
b ɨ ¹	b ɨ̠ ¹
ɛ ²	ɛ ²
ˀn a ¹	ˀn a ¹
k a ¹	k u ¹
x i ²	x ɨ ²
ʃ i ¹	ʃ i ¹
p a ¹	p a ¹
dʒ ɛ ¹	dʒ ɛ ¹
m ɛ̠ ²	m ɛ ²
k ɛ̠ ³	k u ²
kʰ y ²	k j o̠ ³
tsʰ o̠ ¹	tsʰ o̠ ¹
pʰ ɛ ¹	pʰ ɛ ¹
g y ¹	g y ¹
dz ɛ ¹	dʒ ɛ ¹
dz i ³	dz i ³
a ²	a ²
ˀn i̠ ²	ˀɲ y ²
z y ²	z y ²
k ɛ ¹	k ɛ ³
g i̠ ²	g a ¹
l o̠ ¹	l u̠ ¹
d y ²	d y ²
l i̠ ³	l e̠ ³
h e̠ ³	h e̠ ³
b u ²	b e ²
ɣ a ²	ɣ a ŋ ²
a ¹	a ¹
ˀn o ¹	ˀn i ¹
v i̠ ³	v i̠ ³
pʰ u ³	pʰ u ³
tʰ a ²	tʰ a ²
m e̠ ³	ˀm e̠ ³
ˀn i̠ ¹	ˀn i̠ ¹
l a ¹	l a ¹
ˀn a ³	ˀn i ³
g ɛ ²	g j ɛ ²
b a ²	b a ²
h ɛ ¹	h ɛ̠ ¹
b o ²	b o ²
tsʰ u ¹	tsʰ u ¹
ʒ e̠ ³	ɣ e̠ ¹
a ¹	a ¹
dʒ a ŋ ¹	dʒ a ŋ ¹
m o ²	m o ²
a ²	a ²
n i ²	n̩ ²
ˀn i̠ ³	ɲ a ²
dz y ²	dz y ²
k o̠ ²	k u ²
pʰ i ¹	pʰ e̠ ¹
s u ¹	ʒ a ¹
l a ¹	l a ¹
k ɛ ¹	k j ɛ ¹
n i ³	ˀn i ³
d ɛ ²	d e ²
s a ¹	s a ¹
g y ³	kʰ y ¹
m a ³	m a ³
x i ³	x ɨ̠ ³
b j a ²	b j a ²
v e̠ ¹	v e ¹
d u ²	d u ²
n i ²	n i ²
s i ¹	s i̠ ¹
ɣ i ¹	ɣ ɨ ¹
kʰ o̠ ³	kʰ o̠ ³
pʰ j a ŋ ¹	pʰ j a ¹
ˀl y ³	ˀl y ²
kʰ u ²	kʰ u ¹
p o̠ ³	p o̠ ¹
m a ŋ ³	m o ²
k ɨ ²	k j o ²
d u ¹	d u ¹
ʃ ɨ ²	ʃ ɨ ²
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
pʰ ɨ ²	pʰ ɨ ²
m u ¹	m j a ²
d u ¹	d u ¹
g a ²	g a ²
t i ³	t i ²
s ɛ ²	s ɛ ²
n i ²	n i ²
t u ²	t u ²
tʃ ɛ ³	t e̠ ³
g ɛ ³	g ɛ ²
x a ²	x a ²
m a ³	m a ³
n i ²	n̩ ²
b ɛ̠ ¹	b ɛ̠ ¹
v a ²	v a ²
l ɛ ¹	l ɛ ¹
ˀl a ŋ ³	ˀl u ²
b ɨ ²	b ɨ ¹
l y ¹	l y ¹
p o ³	p y̠ ¹
ts ɛ̠ ¹	ts ɛ ¹
ˀl a ŋ ³	ˀl a ŋ ³
m o ²	m o ²
n i ¹	n i ¹
ˀl a ŋ ²	l a ŋ ²
kʰ ɛ ³	kʰ a ³
p a ŋ ¹	p a ŋ ¹
k a ŋ ³	k o ³
a ¹	a ¹
pʰ a ŋ ¹	pʰ j a ¹
m i ³	m i ¹
n y ²	n y ²
pʰ i ²	pʰ e ²
t u ¹	t u ¹
g u ¹	ɣ o ³
a ²	a ¹
b u ³	b u̠ ¹
v i̠ ¹	ˀv i̠ ³
tʃʰ u ²	tʃʰ i̠ ³
kʰ i ¹	tʃʰ e̠ ¹
kʰ a ¹	kʰ a ¹
b y ¹	b y ¹
ɲ j a ŋ ¹	ŋ j a̠ ¹
z e ³	z i̠ ³
m ²	m̩ ²
k i ¹	k ɨ ¹
v a ²	v a ²
n e̠ ¹	n i̠ ¹
