n ɛ ¹	ɲ e ¹
b e̠ ³	b e̠ ³
kʰ i ¹	kʰ ɨ ¹
d a ²	d a ²
l i ²	ˀl i ²
g a ¹	g j a ¹
m j ²	m o ²
m a ³	m o ²
ts i̠ ²	ts i̠ ³
kʰ i ¹	tʃʰ e̠ ¹
m i ¹	m i ¹
tsʰ i̠ ³	tʃʰ i̠ ³
k j e̠ ³	tʃ e̠ ³
t o̠ ³	t o̠ ³
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
a ¹	a ¹
ˀm i ³	ˀm i ³
m i ¹	ˀm i ¹
pʰ u ¹	pʰ u ¹
ʒ o̠ ³	ʒ o̠ ³
s a ¹	s a ¹
tsʰ u ¹	tsʰ u ¹
m ɛ ²	m ɛ ²
a ¹	a ¹
g a ²	g j a ²
dʒ o̠ ³	dʒ o̠ ³
g o ²	g o ²
tʰ e̠ ³	tʰ e̠ ³
d u ¹	d i ¹
b i ²	b j o ²
b o ²	b o ²
g a ³	g a ³
ˀn y ¹	ˀn y ¹
g a ²	g a ²
s ɛ ŋ ¹	s ɛ ²
tʰ a ²	tʰ a ²
n i ¹	ˀn i ³
n i̠ ³	n i̠ ³
ʃ a ¹	h a ¹
tʰ u ¹	tʰ u ¹
s a ²	s a ²
s i̠ ³	s i ³
ɣ i ¹	ɣ i ¹
ʒ e̠ ¹	ɣ e̠ ¹
ˀn a ¹	ˀn a ¹
g i ¹	g i ¹
tʃ ɛ̠ ³	tʃ ɛ̠ ³
k j e̠ ³	ts e̠ ³
v e̠ ³	v e̠ ³
kʰ i ¹	kʰ i ¹
d a ³	d a ŋ ¹
t o̠ ³	t o̠ ³
ts a ¹	ts a ¹
tʰ y ³	tʰ y ¹
m o ¹	m o ¹
tsʰ y ¹	tsʰ y ¹
l y ¹	l y ¹
a ³	a ²
k a ŋ ¹	x a ŋ ¹
kʰ u ¹	kʰ u ¹
n e̠ ³	n i̠ ³
a ¹	a ¹
p a̠ ³	p a̠ ³
a ¹	a ¹
p ɨ ²	p ɨ ²
k y ¹	k j o ¹
tsʰ a ¹	tsʰ a ¹
n i ²	n̩ ²
ˀm ɛ ¹	ˀm ɛ ¹
h e ¹	h e ¹
n i̠ ¹	n i̠ ¹
ˀm ɛ ¹	ˀm ɛ ¹
kʰ i ²	kʰ ɨ ²
tʰ y ²	tʰ y ²
t i̠ ²	tʃʰ i ²
t o̠ ³	t o̠ ³
d a ŋ ¹	t a ŋ ³
k a̠ ²	k a ŋ ²
ʃ a̠ ²	ʃ a ²
v ɛ̠ ³	v ɛ̠ ³
p y ³	p y ³
z a ²	z a ²
ʃ i̠ ²	tʃʰ i ²
ʃ i ¹	ʃ y ¹
a ¹	a ¹
kʰ a ²	kʰ a ²
ɲ j a ¹	ŋ j a̠ ¹
m j a ²	m j a ²
n i ²	n u ²
p a ¹	v u ¹
ˀn i̠ ¹	ˀn i̠ ¹
a ¹	a ¹
ŋ a ¹	ŋ a ¹
ɣ i ¹	ɣ i ¹
b o ²	b o ²
m a ³	m a ³
a̠ ¹	a ¹
dz i̠ ³	dʒ i ³
pʰ a̠ ²	pʰ a ²
ʒ o̠ ³	ʒ o̠ ³
pʰ ɨ ²	pʰ ɨ ²
g o̠ ³	g o̠ ³
pʰ i̠ ³	pʰ o̠ ¹
n a ²	n a ²
m a ³	m a ³
m ɛ ¹	ˀm j y̠ ¹
ˀm i ¹	ˀm i ¹
p a̠ ³	p a̠ ³
m ɛ ³	m ɛ ²
d e̠ ³	d ɛ̠ ³
g o ¹	g u ¹
s y ²	s y ²
k a ²	k a ŋ ²
z a ²	h a ¹
k a ²	k a ²
p ɨ ²	p j ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
ɣ ɨ̠ ³	ɣ i ¹
dz a ¹	dʒ e̠ ¹
kʰ ɛ ³	kʰ y̠ ¹
ʃ y ¹	s y ¹
n i ³	ɲ a ²
ɣ a̠ ¹	h e ¹
ts e ³	ts i̠ ³
